animal	cage	number	tag	cc	sex	dob	inoculation_date	death_date	prion_endpoint	acm	endpoint_comments	intercurrent_details	acm_comments	dpi
YBA1	YBA	1	RT	88452	F	2021-07-06	2021-08-26	2021-10-25	FALSE	FALSE	before treatment group assignment		before treatment group assignment	60
YBA2	YBA	2	RB	88452	F	2021-07-06	2021-08-26	2022-01-24	FALSE	TRUE	moribund		counted in all-cause	151
YBA3	YBA	3	LT	88452	F	2021-07-06	2021-08-26	2022-02-07	TRUE	TRUE	weight loss		counted in all-cause	165
YBA4	YBA	4	LB	88452	F	2021-07-06	2021-08-26	2022-02-07	TRUE	TRUE	weight loss		counted in all-cause	165
YBB1	YBB	1	RT	88453	F	2021-07-06	2021-08-26	2022-03-08	FALSE	FALSE	surgical complications		surgical complications	194
YBB2	YBB	2	RB	88453	F	2021-07-06	2021-08-26	2022-11-30	TRUE	TRUE	weight loss		counted in all-cause	461
YBB3	YBB	3	LT	88453	F	2021-07-06	2021-08-26	2022-11-14	TRUE	TRUE	weight loss		counted in all-cause	445
YBB4	YBB	4	LB	88453	F	2021-07-06	2021-08-26	2022-06-08	FALSE	TRUE	intercurrent	necrotic foot	counted in all-cause	286
YBC1	YBC	1	RT	88454	F	2021-07-06	2021-08-26	2022-02-14	FALSE	TRUE	found dead		counted in all-cause	172
YBC2	YBC	2	RB	88454	F	2021-07-06	2021-08-26	2022-02-02	FALSE	TRUE	found dead		counted in all-cause	160
YBC3	YBC	3	LT	88454	F	2021-07-06	2021-08-26	2022-02-14	FALSE	TRUE	weight loss		counted in all-cause	172
YBC4	YBC	4	LB	88454	F	2021-07-06	2021-08-26	2022-02-04	TRUE	TRUE	weight loss		counted in all-cause	162
YBD1	YBD	1	RT	88455	F	2021-07-06	2021-08-26	2022-03-08	FALSE	FALSE	surgical complications		surgical complications	194
YBD2	YBD	2	RB	88455	F	2021-07-06	2021-08-26	2022-09-01	FALSE	TRUE	found dead		counted in all-cause	371
YBD3	YBD	3	LT	88455	F	2021-07-06	2021-08-26	2022-11-11	TRUE	TRUE	weight loss		counted in all-cause	442
YBD4	YBD	4	LB	88455	F	2021-07-06	2021-08-26	2022-11-11	FALSE	TRUE	found dead		counted in all-cause	442
YBE1	YBE	1	RT	88456	F	2021-07-06	2021-08-26	2022-05-27	FALSE	TRUE	found dead		counted in all-cause	274
YBE2	YBE	2	RB	88456	F	2021-07-06	2021-08-26	2021-12-30	FALSE	FALSE	surgical complications		surgical complications	126
YBE3	YBE	3	LT	88456	F	2021-07-06	2021-08-26	2021-08-26	FALSE	FALSE	surgical complications		surgical complications	0
YBE4	YBE	4	LB	88456	F	2021-07-06	2021-08-26	2022-06-22	FALSE	TRUE	found dead		counted in all-cause	300
