cage	dpi	comb	edry	nslt
YBA	60	2	2	2
YBA	71	2	2	2
YBA	85	2	2	2
YBA	99	2	2	2
YBA	113	2	2	2
YBA	116	2	2	2
YBA	118	2	2	2
YBA	123	2	2	2
YBA	127	2	2	2
YBA	130	2	2	2
YBA	132	2	2	2
YBA	137	0.5	0	1
YBA	139	0.5	0	1
YBA	141	0.75	0.5	1
YBA	144	0.5	0	1
YBA	148	0.75	0	1.5
YBA	151	1	0	2
YBA	153	1	0	2
YBA	155	1	0	2
YBA	158	1	0	2
YBA	160	1	0	2
YBA	165	0.75	0	1.5
YBB	60	2	2	2
YBB	71	2	2	2
YBB	85	2	2	2
YBB	99	2	2	2
YBB	113	2	2	2
YBB	116	2	2	2
YBB	118	2	2	2
YBB	123	2	2	2
YBB	127	2	2	2
YBB	130	2	2	2
YBB	132	2	2	2
YBB	137	2	2	2
YBB	139	2	2	2
YBB	141	2	2	2
YBB	144	2	2	2
YBB	148	2	2	2
YBB	151	2	2	2
YBB	153	2	2	2
YBB	155	2	2	2
YBB	158	2	2	2
YBB	160	2	2	2
YBB	165	2	2	2
YBB	167	2	2	2
YBB	169	2	2	2
YBB	172	2	2	2
YBB	174	2	2	2
YBB	179	2	2	2
YBB	181	2	2	2
YBB	184	2	2	2
YBB	188	2	2	2
YBB	193	1.75	1.5	2
YBB	195	2	2	2
YBB	197	2	2	2
YBB	200	2	2	2
YBB	202	2	2	2
YBB	207	2	2	2
YBB	209	2	2	2
YBB	211	2	2	2
YBB	214	2	2	2
YBB	216	2	2	2
YBB	221	0.5	0	1
YBB	223	0.5	0	1
YBB	225	0.5	0	1
YBB	228	1	1	1
YBB	230	1	1	1
YBB	237	0.5	0	1
YBB	239	1.5	1	2
YBB	242	0.5	0	1
YBB	244	0.75	0.5	1
YBB	249	0.5	0.5	0.5
YBB	251	2	2	2
YBB	253	2	2	2
YBB	256	2	2	2
YBB	258	2	2	2
YBB	263	2	2	2
YBB	265	2	2	2
YBB	267	2	2	2
YBB	270	2	2	2
YBB	274	0.5	0	1
YBB	279	0.5	0	1
YBB	281	0.5	0	1
YBB	284	0.5	0	1
YBB	286	1.25	0.5	2
YBB	293	1.25	0.5	2
YBB	295	1.5	1	2
YBB	300	0.5	0.5	0.5
YBB	305	1	1	1
YBB	307	1	1	1
YBB	309	1.25	1	1.5
YBB	314	1.5	1.5	1.5
YBB	319	0.25	0	0.5
YBB	321	0.5	0	1
YBB	323	0.5	0	1
YBB	328	0.25	0	0.5
YBB	330	0	0	0
YBB	333	0.25	0	0.5
YBB	335	0.5	0	1
YBB	337	0.5	0	1
YBB	340	0.5	0	1
YBB	342	0.5	0	1
YBB	344	0.5	0	1
YBB	347	0	0	0
YBB	349	0.25	0	0.5
YBB	351	0.25	0	0.5
YBB	354	0.25	0	0.5
YBB	356	0.5	0	1
YBB	361	0.5	0	1
YBB	363	0.5	0	1
YBB	365	1	1	1
YBB	368	0.5	0	1
YBB	370	0.5	0	1
YBB	377	0.5	0	1
YBB	379	0.75	0	1.5
YBB	382	0.75	0	1.5
YBB	384	0.75	0	1.5
YBB	386	1	0	2
YBB	389	0.5	0	1
YBB	391	0.5	0	1
YBB	393	0.5	0	1
YBB	396	0.5	0	1
YBB	400	0.5	0	1
YBB	403	0.25	0	0.5
YBB	405	0.25	0	0.5
YBB	407	0.25	0	0.5
YBB	410	0.5	0.5	0.5
YBB	412	0.5	0.5	0.5
YBB	417	0.25	0	0.5
YBB	419	0.5	0	1
YBB	421	0.5	0	1
YBB	428	0.5	0	1
YBB	431	0.5	0	1
YBB	433	0.5	0	1
YBB	435	0.5	0	1
YBB	438	0.5	0	1
YBB	440	0.75	0	1.5
YBB	445	0.25	0	0.5
YBB	447	0.25	0	0.5
YBB	449	0.5	0	1
YBB	452	0.5	0	1
YBB	454	0.5	0	1
YBB	456	0.5	0	1
YBB	461	0.5	0	1
YBC	60	2	2	2
YBC	71	2	2	2
YBC	85	2	2	2
YBC	99	2	2	2
YBC	113	2	2	2
YBC	116	2	2	2
YBC	118	2	2	2
YBC	123	2	2	2
YBC	127	2	2	2
YBC	130	2	2	2
YBC	132	2	2	2
YBC	137	0.5	0	1
YBC	139	0.5	0	1
YBC	141	0.5	0	1
YBC	144	0.5	0	1
YBC	148	0.5	0	1
YBC	151	1.5	1	2
YBC	153	1.75	1.5	2
