animal	inoculation_date	inoculator	icv1_date	icv1_by	icv2_date	icv2_by	icv3_date	icv3_by	icv4_date	icv4_by
YBA1	2021-08-26	SV								
YBA2	2021-08-26	SV								
YBA3	2021-08-26	SV								
YBA4	2021-08-26	SV								
YBB1	2021-08-26	SV	2021-11-09	EVM						
YBB2	2021-08-26	SV	2021-11-09	EVM	2022-03-08	SV	2022-07-07	EVM	2022-11-08	EVM
YBB3	2021-08-26	SV	2021-11-09	SV	2022-03-08	SV	2022-07-07	EVM	2022-11-08	EVM
YBB4	2021-08-26	SV	2021-11-09	SV	2022-03-08	EVM				
YBC1	2021-08-26	SV								
YBC2	2021-08-26	SV								
YBC3	2021-08-26	SV								
YBC4	2021-08-26	SV								
YBD1	2021-08-26	SV	2021-11-09	SV	2022-03-08	EVM				
YBD2	2021-08-26	SV	2021-11-09	SV	2022-03-08	EVM	2022-07-07	EVM		
YBD3	2021-08-26	SV	2021-11-09	EVM	2022-03-08	SV	2022-07-07	EVM	2022-11-08	EVM
YBD4	2021-08-26	SV	2021-11-09	EVM	2022-03-08	SV	2022-07-07	EVM	2022-11-08	EVM
YBE1	2021-08-26	SV	2021-12-30	EVM						
YBE2	2021-08-26	SV	2021-12-30	EVM						
YBE3	2021-08-26	SV								
YBE4	2021-08-26	SV	2021-12-30	EVM						
YBF1	2021-08-26	SV	2021-12-30	EVM						
YBF2	2021-08-26	SV	2021-12-30	EVM						
YBF3	2021-08-26	SV	2021-12-30	EVM						
YBF4	2021-08-26	SV	2021-12-30	EVM						
YBG1	2021-08-26	SV	2021-12-30	EVM						
YBG2	2021-08-26	SV	2021-12-30	EVM						
YBG3	2021-08-26	SV	2021-12-30	EVM						
YBG4	2021-08-26	SV	2021-12-30	EVM						
YBH1	2021-08-26	SV	2021-12-30	EVM						
YBH2	2021-08-26	SV	2021-12-30	EVM						
YBH3	2021-08-26	SV								
YBH4	2021-08-26	SV	2021-12-30	EVM						
YBI1	2021-08-26	SV	2021-11-09	EVM						
YBI2	2021-08-26	SV	2021-11-09	EVM	2022-03-08	EVM				
YBI3	2021-08-26	SV	2021-11-09	SV						
YBI4	2021-08-26	SV	2021-11-09	SV						
YBJ1	2021-08-26	SV	2021-11-09	SV						
YBJ2	2021-08-26	SV	2021-11-09	SV						
YBJ3	2021-08-26	SV	2021-11-09	EVM						
YBJ4	2021-08-26	SV	2021-11-09	EVM						
YBK1	2021-08-26	SV	2021-11-09	EVM						
YBK2	2021-08-26	SV	2021-11-09	EVM						
YBK3	2021-08-26	SV	2021-11-09	SV						
YBK4	2021-08-26	SV	2021-11-09	SV	2022-03-08	EVM	2022-07-07	EVM	2022-11-08	EVM
YBL1	2021-08-26	SV	2021-11-09	SV						
YBL2	2021-08-26	SV	2021-11-09	SV						
YBL3	2021-08-26	SV	2021-11-09	EVM						
YBL4	2021-08-26	SV	2021-11-09	EVM	2022-03-08	SV				
YBM1	2021-08-26	SV	2021-12-30	EVM						
YBM2	2021-08-26	SV	2021-12-30	EVM						
YBM3	2021-08-26	SV	2021-12-30	EVM						
YBM4	2021-08-26	SV	2021-12-30	EVM						
YBN1	2021-08-26	SV	2021-12-30	EVM						
YBN2	2021-08-26	SV	2021-12-30	EVM						
YBN3	2021-08-26	SV								
YBN4	2021-08-26	SV								
YBO1	2021-08-26	SV	2021-12-30	EVM						
YBO2	2021-08-26	SV	2021-12-30	EVM						
YBO3	2021-08-26	SV	2021-12-30	EVM						
YBO4	2021-08-26	SV	2021-12-30	EVM						
YBP1	2021-08-26	SV	2021-12-30	EVM						
YBP2	2021-08-26	SV	2021-12-30	EVM						
YBP3	2021-08-26	SV	2021-12-30	EVM						
YBP4	2021-08-26	SV	2021-12-30	EVM						
YBQ1	2021-08-26	SV								
YBQ2	2021-08-26	SV								
YBQ3	2021-08-26	SV								
YBQ4	2021-08-26	SV								
YBS1	2021-08-26	EVM								
YBS2	2021-08-26	EVM								
YBS3	2021-08-26	EVM								
YBS4	2021-08-26	EVM								
YBT1	2021-08-26	EVM								
YBT2	2021-08-26	EVM								
YBT3	2021-08-26	EVM								
YBT4	2021-08-26	EVM								
YBU1	2021-08-26	EVM								
YBU2	2021-08-26	EVM								
YBU3	2021-08-26	EVM								
YBU4	2021-08-26	EVM								
