animal	dpi	weight
YBA2	60	20.4
YBA3	60	19.9
YBA4	60	19.4
YBB1	60	24.5
YBB2	60	25.5
YBB3	60	22.3
YBB4	60	22.4
YBC1	60	22.4
YBC2	60	24.1
YBC3	60	22.2
YBC4	60	22.2
YBD1	60	24.1
YBD2	60	20.8
YBD3	60	22.2
YBD4	60	22
YBE1	60	23.2
YBE2	60	21.9
YBE4	60	22.8
YBF1	60	21.8
YBF2	60	22.4
YBF3	60	24.5
YBF4	60	21.4
YBG1	60	21.3
YBG2	60	23.6
YBG3	60	20.9
YBG4	60	23.7
YBH1	60	23.6
YBH2	60	25.2
YBH4	60	23.8
YBI1	60	25.7
YBI2	60	25.8
YBI3	60	21.4
YBI4	60	20.7
YBJ1	60	23.5
YBJ2	60	22.6
YBJ3	60	22.7
YBJ4	60	27.8
YBK1	60	23.4
YBK2	60	22.4
YBK3	60	25.4
YBK4	60	27.5
YBL1	60	21.8
YBL2	60	21.2
YBL3	60	25.3
YBL4	60	23.3
YBM1	60	27.6
YBM2	60	27.8
YBM3	60	24.4
YBM4	60	22.5
YBN1	60	20.2
YBN2	60	21.8
YBO1	60	28.2
YBO2	60	22.9
YBO3	60	21.6
YBO4	60	22.4
YBP1	60	22.5
YBP2	60	23.4
YBP3	60	22.9
YBP4	60	21.9
YBQ1	60	24.7
YBQ2	60	22.2
YBQ3	60	22.3
YBQ4	60	23
YBS1	60	20.6
YBS2	60	23.3
YBS3	60	22.1
YBS4	60	21.8
YBT1	60	21.6
YBT2	60	18.5
YBT3	60	22.5
YBT4	60	22
YBU1	60	25
YBU2	60	23.8
YBU3	60	23
YBU4	60	22.4
YBA2	71	20.8
YBA3	71	20.6
YBA4	71	19.5
YBB1	71	23.7
YBB2	71	28.3
YBB3	71	22.7
YBB4	71	24
YBC1	71	22.6
YBC2	71	25.8
YBC3	71	22.4
YBC4	71	23.1
YBD1	71	24
YBD2	71	21.4
YBD3	71	22.4
YBD4	71	21.9
YBE1	71	23.5
YBE2	71	23.1
YBE4	71	22.5
YBF1	71	21.9
YBF2	71	23.3
YBF3	71	24.7
YBF4	71	22.3
YBG1	71	21.9
YBG2	71	23.3
YBG3	71	20.6
YBG4	71	23.9
YBH1	71	23.9
YBH2	71	24.2
YBH4	71	24.3
YBI1	71	27.4
YBI2	71	27.2
YBI3	71	23.8
YBI4	71	21.4
YBJ1	71	23.5
YBJ2	71	23.5
YBJ3	71	22.9
YBJ4	71	27.2
YBK1	71	23
YBK2	71	22.1
YBK3	71	25.6
YBK4	71	28.2
YBL1	71	22.7
YBL2	71	22.1
YBL3	71	26.3
YBL4	71	23.8
YBM1	71	27.3
YBM2	71	27.6
YBM3	71	24.9
YBM4	71	23.6
YBN1	71	21.1
YBN2	71	23.2
YBO1	71	28.6
YBO2	71	23
YBO3	71	22.4
YBO4	71	22
YBP1	71	22.7
YBP2	71	24.4
YBP3	71	23.4
YBP4	71	22.8
YBQ1	71	25.6
YBQ2	71	22.5
YBQ3	71	21.7
YBQ4	71	23.1
YBS1	71	22.1
YBS2	71	23.6
YBS3	71	21.8
YBS4	71	23.1
YBT1	71	21.8
YBT2	71	19.4
YBT3	71	22.6
YBT4	71	22.9
YBU1	71	23.8
YBU2	71	24.3
YBU3	71	22.8
YBU4	71	22.8
YBA2	78	22.4
YBA3	78	20.9
YBA4	78	19.4
YBB1	78	22.6
YBB2	78	26.5
YBB3	78	22
YBB4	78	22.2
YBC1	78	22.6
YBC2	78	26.1
YBC3	78	22.4
YBC4	78	23
YBD1	78	23.8
YBD2	78	20.1
YBD3	78	21.9
YBD4	78	21.7
YBE1	78	23.8
YBE2	78	24.5
YBE4	78	22.7
YBF1	78	22
YBF2	78	23.8
YBF3	78	25.7
YBF4	78	23.2
YBG1	78	21.8
YBG2	78	23
YBG3	78	20.7
YBG4	78	24
YBH1	78	24.6
YBH2	78	25.3
YBH4	78	24.9
YBI1	78	26.4
YBI2	78	28.8
YBI3	78	21.3
YBI4	78	20.4
YBJ1	78	23
YBJ2	78	23.8
YBJ3	78	22.6
YBJ4	78	25.7
YBK1	78	22.7
YBK2	78	22
YBK3	78	25
YBK4	78	27.8
YBL1	78	23
YBL2	78	22.2
YBL3	78	25.6
YBL4	78	23.4
YBM1	78	28
YBM2	78	27.3
YBM3	78	25.4
YBM4	78	23.2
YBN1	78	22
YBN2	78	23.8
YBO1	78	28
YBO2	78	23.8
YBO3	78	22.4
YBO4	78	22.1
YBP1	78	23.1
YBP2	78	22.9
YBP3	78	24.5
YBP4	78	22.1
YBQ1	78	25.2
YBQ2	78	23
YBQ3	78	21.7
YBQ4	78	22.9
YBS1	78	21.6
YBS2	78	23.5
YBS3	78	22
YBS4	78	23.2
YBT1	78	21.9
