plate	row	col	a450_bck	stype	detail	dilution	standard_curve	above_baseline	nominal	ngml	ngml_trunc	flag
85	A	1	0.048	standard	0	1	MoPrP16	TRUE	0	NA	0.051	LLQ
85	A	2	0.047	standard	0	1	MoPrP16	FALSE	0	NA	0.051	LLQ
85	A	3	0.67	sample	97823.2	400	MoPrP16	TRUE	NA	325.636	325.636	
85	A	4	0.704	sample	97823.2	400	MoPrP16	TRUE	NA	341.114	341.114	
85	A	5	1.57	sample	97826.1	400	MoPrP16	TRUE	NA	811.822	811.822	
85	A	6	1.507	sample	97826.1	400	MoPrP16	TRUE	NA	768.574	768.574	
85	A	7	1.791	sample	97830.1	400	MoPrP16	TRUE	NA	984.458	984.458	
85	A	8	1.861	sample	97830.1	400	MoPrP16	TRUE	NA	1047.725	1047.725	
85	A	9	2.024	sample	97828.1	400	MoPrP16	TRUE	NA	1217.122	1217.122	
85	A	10	2.047	sample	97828.1	400	MoPrP16	TRUE	NA	1244.051	1244.051	
85	A	11	0.66	sample	MoPosHiQC-top	200	MoPrP16	TRUE	NA	160.546	160.546	
85	A	12	0.627	sample	MoPosHiQC-top	200	MoPrP16	TRUE	NA	153.057	153.057	
85	B	1	0.076	standard	0.02048	1	MoPrP16	TRUE	0.02048	NA	0.051	LLQ
85	B	2	0.076	standard	0.02048	1	MoPrP16	TRUE	0.02048	NA	0.051	LLQ
85	B	3	0.814	sample	97823.3	400	MoPrP16	TRUE	NA	391.724	391.724	
85	B	4	0.856	sample	97823.3	400	MoPrP16	TRUE	NA	411.366	411.366	
85	B	5	1.21	sample	97826.2	400	MoPrP16	TRUE	NA	589.609	589.609	
85	B	6	1.15	sample	97826.2	400	MoPrP16	TRUE	NA	557.32	557.32	
85	B	7	1.92	sample	97830.2	400	MoPrP16	TRUE	NA	1105.121	1105.121	
85	B	8	1.998	sample	97830.2	400	MoPrP16	TRUE	NA	1187.682	1187.682	
85	B	9	2.158	sample	97829.1	400	MoPrP16	TRUE	NA	1387.472	1387.472	
85	B	10	2.174	sample	97829.1	400	MoPrP16	TRUE	NA	1410.248	1410.248	
85	B	11	0.469	sample	MoPosMidQC-top	200	MoPrP16	TRUE	NA	116.999	116.999	
85	B	12	0.458	sample	MoPosMidQC-top	200	MoPrP16	TRUE	NA	114.448	114.448	
85	C	1	0.093	standard	0.0512	1	MoPrP16	TRUE	0.0512	NA	NA	
85	C	2	0.097	standard	0.0512	1	MoPrP16	TRUE	0.0512	0.026	0.026	
85	C	3	0.636	sample	97825.1	400	MoPrP16	TRUE	NA	310.197	310.197	
85	C	4	0.672	sample	97825.1	400	MoPrP16	TRUE	NA	326.545	326.545	
85	C	5	1.228	sample	97826.3	400	MoPrP16	TRUE	NA	599.507	599.507	
85	C	6	1.246	sample	97826.3	400	MoPrP16	TRUE	NA	609.509	609.509	
85	C	7	1.911	sample	97830.3	400	MoPrP16	TRUE	NA	1096.103	1096.103	
85	C	8	1.883	sample	97830.3	400	MoPrP16	TRUE	NA	1068.661	1068.661	
85	C	9	2.081	sample	97831.2	400	MoPrP16	TRUE	NA	1285.495	1285.495	
85	C	10	2.007	sample	97831.2	400	MoPrP16	TRUE	NA	1197.756	1197.756	
85	C	11	0.136	sample	MoPosLoQC-top	200	MoPrP16	TRUE	NA	26.266	26.266	
85	C	12	0.134	sample	MoPosLoQC-top	200	MoPrP16	TRUE	NA	25.445	25.445	
85	D	1	0.142	standard	0.128	1	MoPrP16	TRUE	0.128	0.143	0.143	
85	D	2	0.148	standard	0.128	1	MoPrP16	TRUE	0.128	0.155	0.155	
85	D	3	1.054	sample	97827.3	400	MoPrP16	TRUE	NA	507.671	507.671	
85	D	4	1.099	sample	97827.3	400	MoPrP16	TRUE	NA	530.658	530.658	
85	D	5	1.618	sample	87019.1	400	MoPrP16	TRUE	NA	846.353	846.353	
85	D	6	1.707	sample	87019.1	400	MoPrP16	TRUE	NA	914.487	914.487	
85	D	7	2.005	sample	97836.3	400	MoPrP16	TRUE	NA	1195.507	1195.507	
85	D	8	1.945	sample	97836.3	400	MoPrP16	TRUE	NA	1130.7	1130.7	
85	D	9	1.969	sample	87021.3	400	MoPrP16	TRUE	NA	1156.022	1156.022	
85	D	10	1.957	sample	87021.3	400	MoPrP16	TRUE	NA	1143.265	1143.265	
85	D	11	0.076	sample	MoNeg-top	200	MoPrP16	TRUE	NA	NA	10.24	LLQ
85	D	12	0.085	sample	MoNeg-top	200	MoPrP16	TRUE	NA	NA	10.24	LLQ
85	E	1	0.257	standard	0.32	1	MoPrP16	TRUE	0.32	0.324	0.324	
85	E	2	0.249	standard	0.32	1	MoPrP16	TRUE	0.32	0.313	0.313	
85	E	3	1.286	sample	97827.4	400	MoPrP16	TRUE	NA	632.123	632.123	
85	E	4	1.292	sample	97827.4	400	MoPrP16	TRUE	NA	635.563	635.563	
85	E	5	1.644	sample	87019.2	400	MoPrP16	TRUE	NA	865.679	865.679	
85	E	6	1.637	sample	87019.2	400	MoPrP16	TRUE	NA	860.431	860.431	
85	E	7	1.956	sample	97836.4	400	MoPrP16	TRUE	NA	1142.21	1142.21	
85	E	8	2.032	sample	97836.4	400	MoPrP16	TRUE	NA	1226.392	1226.392	
85	E	9	1.951	sample	87025.1	400	MoPrP16	TRUE	NA	1136.959	1136.959	
85	E	10	1.897	sample	87025.1	400	MoPrP16	TRUE	NA	1082.268	1082.268	
85	E	11	1.886	sample	87025.2	400	MoPrP16	TRUE	NA	1071.558	1071.558	
85	E	12	1.956	sample	87025.2	400	MoPrP16	TRUE	NA	1142.21	1142.21	
85	F	1	0.652	standard	0.8	1	MoPrP16	TRUE	0.8	0.794	0.794	
85	F	2	0.66	standard	0.8	1	MoPrP16	TRUE	0.8	0.803	0.803	
85	F	3	1.108	sample	97839.1	400	MoPrP16	TRUE	NA	535.314	535.314	
85	F	4	1.119	sample	97839.1	400	MoPrP16	TRUE	NA	541.033	541.033	
85	F	5	1.447	sample	87019.3	400	MoPrP16	TRUE	NA	729.355	729.355	
85	F	6	1.481	sample	87019.3	400	MoPrP16	TRUE	NA	751.356	751.356	
85	F	7	1.981	sample	95040.1	400	MoPrP16	TRUE	NA	1168.977	1168.977	
85	F	8	1.958	sample	95040.1	400	MoPrP16	TRUE	NA	1144.32	1144.32	
85	F	9	1.666	sample	87028.3	400	MoPrP16	TRUE	NA	882.394	882.394	
85	F	10	1.658	sample	87028.3	400	MoPrP16	TRUE	NA	876.276	876.276	
85	F	11	1.863	sample	87026.1	400	MoPrP16	TRUE	NA	1049.606	1049.606	
85	F	12	1.966	sample	87026.1	400	MoPrP16	TRUE	NA	1152.814	1152.814	
85	G	1	1.548	standard	2	1	MoPrP16	TRUE	2	1.991	1.991	
85	G	2	1.56	standard	2	1	MoPrP16	TRUE	2	2.012	2.012	
85	G	3	1.315	sample	97824.3	400	MoPrP16	TRUE	NA	648.871	648.871	
85	G	4	1.332	sample	97824.3	400	MoPrP16	TRUE	NA	658.835	658.835	
85	G	5	1.328	sample	87020.1	400	MoPrP16	TRUE	NA	656.48	656.48	
85	G	6	1.377	sample	87020.1	400	MoPrP16	TRUE	NA	685.758	685.758	
85	G	7	1.178	sample	87020.2	400	MoPrP16	TRUE	NA	572.258	572.258	
85	G	8	1.163	sample	87020.2	400	MoPrP16	TRUE	NA	564.228	564.228	
85	G	9	1.718	sample	87026.2	400	MoPrP16	TRUE	NA	923.316	923.316	
85	G	10	1.787	sample	87026.2	400	MoPrP16	TRUE	NA	980.987	980.987	
85	G	11	0.97	sample	87024.1	400	MoPrP16	TRUE	NA	465.95	465.95	
85	G	12	0.999	sample	87024.1	400	MoPrP16	TRUE	NA	480.192	480.192	
85	H	1	2.482	standard	5	1	MoPrP16	TRUE	5	5.035	5	ULQ
85	H	2	2.471	standard	5	1	MoPrP16	TRUE	5	4.962	4.962	
85	H	3	0.683	sample	MoPosHiQC-bottom	200	MoPrP16	TRUE	NA	165.774	165.774	
85	H	4	0.674	sample	MoPosHiQC-bottom	200	MoPrP16	TRUE	NA	163.727	163.727	
85	H	5	0.48	sample	MoPosMidQC-bottom	200	MoPrP16	TRUE	NA	119.541	119.541	
85	H	6	0.479	sample	MoPosMidQC-bottom	200	MoPrP16	TRUE	NA	119.311	119.311	
85	H	7	0.144	sample	MoPosLoQC-bottom	200	MoPrP16	TRUE	NA	29.435	29.435	
85	H	8	0.145	sample	MoPosLoQC-bottom	200	MoPrP16	TRUE	NA	29.819	29.819	
85	H	9	1.069	sample	87024.2	400	MoPrP16	TRUE	NA	515.28	515.28	
85	H	10	1.07	sample	87024.2	400	MoPrP16	TRUE	NA	515.79	515.79	
85	H	11	1.11	sample	87024.3	400	MoPrP16	TRUE	NA	536.352	536.352	
85	H	12	1.167	sample	87024.3	400	MoPrP16	TRUE	NA	566.363	566.363	
