sample	standard_curve	ngml_av	se_mean	flag
105263.4	MoPrP16	1154.717	25.511	
105263.5	MoPrP16	1205.941	40.873	
105264.1	MoPrP16	1114.818	1.02	
105265.1	MoPrP16	452.21	14.269	
105265.2	MoPrP16	445.132	3.729	
105265.3	MoPrP16	326.675	3.14	
105265.4	MoPrP16	260.646	7.103	
105265.5	MoPrP16	384.989	8.465	
105266.1	MoPrP16	1113.841	9.172	
105266.2	MoPrP16	384.966	4.232	
105266.3	MoPrP16	638.94	2.436	
105266.4	MoPrP16	887.867	7.608	
105268.1	MoPrP16	297.832	7.915	
105269.1	MoPrP16	262.572	0.43	
105269.2	MoPrP16	207.809	4.017	
105270.1	MoPrP16	306.86	5.087	
105270.2	MoPrP16	440.174	4.206	
105270.3	MoPrP16	309.068	3.323	
MoNeg	MoPrP16	10.24	0	LLQ
MoPosHiQC	MoPrP16	152.874	0.884	
MoPosLoQC	MoPrP16	23.903	0.389	
MoPosMidQC	MoPrP16	99.889	1.584	
