Run ID	Sample No.	Animal ID	Group	core vs recovery	Dose (mg)	Sex	Matrix	Type of Matrix Specimen	Study Day	Collection Date	Nominal Time Point (hours)	LLOQ (ng/mL)	Concentration (ng/mL)
AN411.0-24_01_AB03	101	101	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	16	101	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	0.5	1	0.5
AN411.0-24_01_AB01	28	101	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	4	1	0.5
AN411.0-24_01_AB01	45	101	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	8	1	0.5
AN411.0-24_01_AB01	57	101	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	12	1	0.5
AN411.0-24_01_AB03	113	101	1	core	0	M	Plasma	n.a.	2	16-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	102	102	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	17	102	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	0.5	1	0.5
AN411.0-24_01_AB01	29	102	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	4	1	0.5
AN411.0-24_01_AB01	46	102	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	8	1	0.5
AN411.0-24_01_AB01	58	102	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	12	1	0.5
AN411.0-24_01_AB03	114	102	1	core	0	M	Plasma	n.a.	2	16-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	103	103	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	18	103	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	0.5	1	0.5
AN411.0-24_01_AB01	30	103	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	4	1	0.5
AN411.0-24_01_AB01	47	103	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	8	1	0.5
AN411.0-24_01_AB01	59	103	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	12	1	0.5
AN411.0-24_01_AB03	115	103	1	core	0	M	Plasma	n.a.	2	16-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	104	104	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	19	104	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	0.5	1	0.5
AN411.0-24_01_AB01	31	104	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	4	1	0.5
AN411.0-24_01_AB01	48	104	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	8	1	0.5
AN411.0-24_01_AB01	60	104	1	core	0	M	Plasma	n.a.	1	15-Jul-2024	12	1	0.5
AN411.0-24_01_AB03	116	104	1	core	0	M	Plasma	n.a.	2	16-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	105	105	1	recovery	0	M	Plasma	n.a.	1	15-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	20	105	1	recovery	0	M	Plasma	n.a.	1	15-Jul-2024	0.5	1	0.5
