 Run ID	Sample No.	Animal ID	Group	Dose (mg)	Matrix	Nominal Timepoint (Day)	LLOQ (ng/g)	Concentration (ng/g)	Dilution
AN423.0-24_01_AB01	18	101	1	0	Spinal Cord, cervical	2	20	BQL	1
AN423.0-24_01_AB01	19	102	1	0	Spinal Cord, cervical	2	20	BQL	1
AN423.0-24_01_AB01	20	103	1	0	Spinal Cord, cervical	2	20	BQL	1
AN423.0-24_01_AB01	21	104	1	0	Spinal Cord, cervical	2	20	BQL	1
AN423.0-24_01_AB01	22	105	1	0	Spinal Cord, cervical	29	20	BQL	1
AN423.0-24_01_AB01	23	106	1	0	Spinal Cord, cervical	29	20	BQL	1
AN423.0-24_01_AB01	24	151	1	0	Spinal Cord, cervical	2	20	BQL	1
AN423.0-24_01_AB01	25	152	1	0	Spinal Cord, cervical	2	20	BQL	1
AN423.0-24_01_AB01	26	153	1	0	Spinal Cord, cervical	2	20	BQL	1
AN423.0-24_01_AB01	27	154	1	0	Spinal Cord, cervical	2	20	BQL	1
AN423.0-24_01_AB01	28	155	1	0	Spinal Cord, cervical	29	20	BQL	1
AN423.0-24_01_AB01	29	156	1	0	Spinal Cord, cervical	29	20	BQL	1
AN423.0-24_01_AB01	30	201	2	20	Spinal Cord, cervical	2	20	47.7	1
AN423.0-24_01_AB01	31	202	2	20	Spinal Cord, cervical	2	20	2,150.0	1
AN423.0-24_01_AB01	32	203	2	20	Spinal Cord, cervical	2	20	94.5	1
AN423.0-24_01_AB01	33	204	2	20	Spinal Cord, cervical	2	20	7,794.6	1
AN423.0-24_01_AB01	34	205	2	20	Spinal Cord, cervical	29	20	3,999.7	1
AN423.0-24_01_AB01	35	206	2	20	Spinal Cord, cervical	29	20	2,019.9	1
AN423.0-24_01_AB01	36	251	2	20	Spinal Cord, cervical	2	20	2,688.7	1
AN423.0-24_01_AB05	32	252	2	20	Spinal Cord, cervical	2	20	10,202.6	10
AN423.0-24_01_AB05	16	253	2	20	Spinal Cord, cervical	2	20	991.6	1
AN423.0-24_01_AB05	17	254	2	20	Spinal Cord, cervical	2	20	6,083.7	1
AN423.0-24_01_AB01	45	255	2	20	Spinal Cord, cervical	29	20	3,771.0	1
AN423.0-24_01_AB01	46	256	2	20	Spinal Cord, cervical	29	20	117.6	1
AN423.0-24_01_AB01	47	301	3	60	Spinal Cord, cervical	2	20	4,645.4	1
AN423.0-24_01_AB01	48	303	3	60	Spinal Cord, cervical	2	20	2,426.0	1
AN423.0-24_01_AB05	33	304	3	60	Spinal Cord, cervical	2	20	10,966.2	10
AN423.0-24_01_AB05	18	351	3	60	Spinal Cord, cervical	2	20	401.6	1
AN423.0-24_01_AB01	51	353	3	60	Spinal Cord, cervical	2	20	3,148.3	1
AN423.0-24_01_AB01	52	354	3	60	Spinal Cord, cervical	2	20	279.2	1
AN423.0-24_01_AB01	53	402	4	200	Spinal Cord, cervical	2	20	329.2	1
AN423.0-24_01_AB01	54	403	4	200	Spinal Cord, cervical	2	20	462.6	1
