Axolabs Run ID	Sample No.	Animal ID	Group	Dose Level  (mg)	Matrix	Nominal Timepoint (Day)	LLOQ  (ng/g)	Concentration (ng/g)
AN422.0-24_01_AB01	57	121	1	0	Liver	4	20.0	BQL
AN422.0-24_01_AB01	58	122	1	0	Liver	4	20.0	BQL
AN422.0-24_01_AB01	59	123	1	0	Liver	4	20.0	BQL
AN422.0-24_01_AB01	60	171	1	0	Liver	4	20.0	BQL
AN422.0-24_01_AB01	61	172	1	0	Liver	4	20.0	BQL
AN422.0-24_01_AB01	62	173	1	0	Liver	4	20.0	BQL
AN422.0-24_01_AB01	44	221	2	0.3	Liver	4	20.0	6,006.5
AN422.0-24_01_AB01	45	222	2	0.3	Liver	4	20.0	9,551.2
AN422.0-24_01_AB01	46	223	2	0.3	Liver	4	20.0	7,244.9
AN422.0-24_01_AB01	47	224	2	0.3	Liver	4	20.0	9,529.2
AN422.0-24_01_AB01	48	225	2	0.3	Liver	4	20.0	10,258.5
AN422.0-24_01_AB01	49	226	2	0.3	Liver	4	20.0	6,713.5
AN422.0-24_01_AB01	50	271	2	0.3	Liver	4	20.0	10,488.0
AN422.0-24_01_AB01	51	272	2	0.3	Liver	4	20.0	12,516.8
AN422.0-24_01_AB01	52	273	2	0.3	Liver	4	20.0	5,980.7
AN422.0-24_01_AB01	53	274	2	0.3	Liver	4	20.0	6,328.8
AN422.0-24_01_AB01	54	275	2	0.3	Liver	4	20.0	14,854.0
AN422.0-24_01_AB01	55	276	2	0.3	Liver	4	20.0	15,536.4
AN422.0-24_01_AB01	15	321	3	1.0	Liver	4	20.0	22,868.6
AN422.0-24_01_AB01	16	322	3	1.0	Liver	4	20.0	26,743.1
AN422.0-24_01_AB01	17	323	3	1.0	Liver	4	20.0	28,759.4
AN422.0-24_01_AB01	18	324	3	1.0	Liver	4	20.0	21,686.6
AN422.0-24_01_AB01	19	325	3	1.0	Liver	4	20.0	1,442.7
AN422.0-24_01_AB01	20	326	3	1.0	Liver	4	20.0	11,699.6
AN422.0-24_01_AB01	21	371	3	1.0	Liver	4	20.0	31,318.5
AN422.0-24_01_AB01	22	372	3	1.0	Liver	4	20.0	30,154.4
AN422.0-24_01_AB01	23	373	3	1.0	Liver	4	20.0	42,352.8
AN422.0-24_01_AB01	24	374	3	1.0	Liver	4	20.0	32,743.4
AN422.0-24_01_AB01	25	375R	3	1.0	Liver	4	20.0	44,838.8
AN422.0-24_01_AB01	26	376	3	1.0	Liver	4	20.0	13,126.9
AN422.0-24_01_AB01	27	421	4	3.0	Liver	4	20.0	48,025.0
AN422.0-24_01_AB01	28	422	4	3.0	Liver	4	20.0	24,914.5
AN422.0-24_01_AB01	29	423	4	3.0	Liver	4	20.0	65,867.8
AN422.0-24_01_AB01	30	424	4	3.0	Liver	4	20.0	48,790.3
AN422.0-24_01_AB01	31	425	4	3.0	Liver	4	20.0	73,734.4
AN422.0-24_01_AB01	32	426	4	3.0	Liver	4	20.0	40,198.1
AN422.0-24_01_AB01	33	471	4	3.0	Liver	4	20.0	110,877.7
AN422.0-24_01_AB01	34	472	4	3.0	Liver	4	20.0	114,181.4
AN422.0-24_01_AB01	35	473	4	3.0	Liver	4	20.0	134,785.3
AN422.0-24_01_AB01	36	474	4	3.0	Liver	4	20.0	104,514.3
AN422.0-24_01_AB01	42	475	4	3.0	Liver	4	20.0	117,056.0
AN422.0-24_01_AB01	43	476	4	3.0	Liver	4	20.0	12,853.4
AN422.0-24_01_AB01	105	121	1	0	Kidney	4	20.0	BQL
AN422.0-24_01_AB01	106	122	1	0	Kidney	4	20.0	BQL
AN422.0-24_01_AB01	107	123	1	0	Kidney	4	20.0	BQL
AN422.0-24_01_AB01	102	171	1	0	Kidney	4	20.0	BQL
AN422.0-24_01_AB01	103	172	1	0	Kidney	4	20.0	BQL
AN422.0-24_01_AB01	104	173	1	0	Kidney	4	20.0	BQL
AN422.0-24_01_AB01	114	221	2	0.3	Kidney	4	20.0	2,390.5
