AnimalID,Day of Death,Terminal BW (kg),Adrenal Glands Wt. (g),Adrenal Glands:BR (%),Adrenal Glands:TBW. (%),Brain Weight (g),Brain:TBW. (%),Heart Weight (g),Heart: BR (%),Heart:TBW. (%),Kidneys Weight (g),Kidneys: BR (%),Kidneys:TBW. (%),Liver Weight (g),Liver: BR (%),Liver:TBW. (%),Lungs Weight (g),Lungs: BR (%),Lungs:TBW. (%),Spleen Weight (g),Spleen: BR (%),Spleen:TBW. (%),Testes Weight (g),Testes: BR (%),Testes:TBW. (%),Thymus Weight (g),Thymus: BR (%),Thymus:TBW. (%),Group,Sex
101,2,6.9,0.9881,1.254,0.01,78.82,1.14,62.82,79.701,0.91,35.50,45.039,0.51,271.55,344.519,3.94,127.49,161.748,1.85,39.00,49.480,0.57,1.25,1.586,0.02,12.412,15.747,0.18,Group 1 Vehicle 0 mg,Male
102,2,5.9,0.7418,0.971,0.01,76.38,1.29,37.51,49.110,0.64,30.43,39.840,0.52,217.81,285.166,3.69,79.87,104.569,1.35,49.69,65.056,0.84,2.42,3.168,0.04,9.997,13.089,0.17,Group 1 Vehicle 0 mg,Male
103,2,9.1,1.1497,1.484,0.01,77.49,0.85,66.29,85.547,0.73,49.50,63.879,0.54,278.73,359.698,3.06,88.21,113.834,0.97,69.33,89.470,0.76,10.35,13.357,0.11,13.282,17.140,0.15,Group 1 Vehicle 0 mg,Male
104,2,7.1,0.9570,1.261,0.01,75.90,1.07,54.48,71.779,0.77,39.87,52.530,0.56,247.52,326.113,3.49,90.79,119.618,1.28,58.00,76.416,0.82,4.92,6.482,0.07,9.154,12.061,0.13,Group 1 Vehicle 0 mg,Male
105,29,8.2,1.1059,1.442,0.01,76.69,0.94,60.35,78.693,0.74,39.15,51.050,0.48,244.12,318.321,2.98,135.06,176.112,1.65,52.03,67.845,0.63,8.65,11.279,0.11,14.693,19.159,0.18,Group 1 Vehicle 0 mg,Male
106,29,7.9,0.8220,1.140,0.01,72.13,0.91,63.39,87.883,0.80,48.39,67.087,0.61,244.65,339.179,3.10,91.03,126.203,1.15,61.53,85.304,0.78,8.41,11.660,0.11,21.226,29.427,0.27,Group 1 Vehicle 0 mg,Male
201,2,6.9,1.0936,1.402,0.02,78.03,1.13,51.50,66.000,0.75,42.48,54.441,0.62,231.17,296.258,3.35,62.07,79.546,0.90,69.69,89.312,1.01,2.11,2.704,0.03,14.193,18.189,0.21,Group 2 Low Dose 20 mg,Male
202,2,6.8,1.0979,1.522,0.02,72.12,1.06,44.17,61.245,0.65,39.97,55.422,0.59,249.81,346.381,3.67,914.92,1268.608,13.45,41.69,57.806,0.61,3.81,5.283,0.06,12.720,17.637,0.19,Group 2 Low Dose 20 mg,Male
203,2,7.5,1.1554,1.563,0.02,73.91,0.99,53.88,72.899,0.72,43.92,59.424,0.59,223.17,301.948,2.98,68.18,92.247,0.91,62.25,84.224,0.83,4.76,6.440,0.06,19.025,25.741,0.25,Group 2 Low Dose 20 mg,Male
204,2,8.8,1.1078,1.454,0.01,76.21,0.87,69.98,91.825,0.80,41.31,54.205,0.47,282.38,370.529,3.21,84.13,110.392,0.96,88.85,116.586,1.01,5.57,7.309,0.06,14.060,18.449,0.16,Group 2 Low Dose 20 mg,Male
205,29,8.1,1.1610,1.502,0.01,77.29,0.95,61.56,79.648,0.76,45.02,58.248,0.56,206.71,267.447,2.55,96.68,125.087,1.19,71.96,93.104,0.89,6.68,8.643,0.08,8.913,11.532,0.11,Group 2 Low Dose 20 mg,Male
206,29,7.8,1.1392,1.544,0.01,73.79,0.95,64.98,88.061,0.83,40.58,54.994,0.52,252.21,341.794,3.23,82.02,111.153,1.05,53.77,72.869,0.69,8.08,10.950,0.10,19.575,26.528,0.25,Group 2 Low Dose 20 mg,Male
301,2,7.6,1.1547,1.556,0.02,74.21,0.98,53.53,72.133,0.70,42.04,56.650,0.55,244.49,329.457,3.22,88.74,119.580,1.17,51.05,68.791,0.67,4.48,6.037,0.06,23.414,31.551,0.31,Group 3 Mid Dose 60 mg,Male
302,2,7.1,0.9936,1.410,0.01,70.47,0.99,54.53,77.380,0.77,42.06,59.685,0.59,215.39,305.648,3.03,63.02,89.428,0.89,54.57,77.437,0.77,7.64,10.841,0.11,10.619,15.069,0.15,Group 3 Mid Dose 60 mg,Male
303,2,6.6,1.1129,1.452,0.02,76.63,1.16,47.98,62.613,0.73,33.68,43.951,0.51,220.37,287.577,3.34,71.00,92.653,1.08,42.73,55.761,0.65,3.84,5.011,0.06,14.206,18.538,0.22,Group 3 Mid Dose 60 mg,Male
304,2,7.8,1.0106,1.327,0.01,76.15,0.98,55.19,72.475,0.71,43.30,56.861,0.56,269.33,353.684,3.45,62.08,81.523,0.80,70.89,93.093,0.91,8.77,11.517,0.11,12.694,16.670,0.16,Group 3 Mid Dose 60 mg,Male
305,29,8.0,0.9085,1.144,0.01,79.39,0.99,56.33,70.954,0.70,54.24,68.321,0.68,223.61,281.660,2.80,74.38,93.689,0.93,67.63,85.187,0.85,8.42,10.606,0.11,13.428,16.914,0.17,Group 3 Mid Dose 60 mg,Male
306,29,7.7,0.8333,1.087,0.01,76.64,1.00,60.65,79.136,0.79,43.50,56.759,0.56,247.05,322.351,3.21,72.76,94.937,0.94,39.46,51.487,0.51,9.12,11.900,0.12,10.640,13.883,0.14,Group 3 Mid Dose 60 mg,Male
401,2,7.6,1.1374,1.461,0.01,77.83,1.02,61.19,78.620,0.81,46.63,59.913,0.61,284.48,365.515,3.74,103.64,133.162,1.36,37.38,48.028,0.49,2.68,3.443,0.04,12.547,16.121,0.17,Group 4 High Dose 200 mg,Male
402,2,8.8,1.1757,1.548,0.01,75.95,0.86,60.67,79.882,0.69,37.12,48.874,0.42,246.40,324.424,2.80,85.27,112.271,0.97,66.72,87.847,0.76,10.08,13.272,0.11,9.315,12.265,0.11,Group 4 High Dose 200 mg,Male
403,2,7.0,0.7860,1.028,0.01,76.46,1.09,62.42,81.637,0.89,39.27,51.360,0.56,234.83,307.128,3.35,77.87,101.844,1.11,48.27,63.131,0.69,4.49,5.872,0.06,9.876,12.917,0.14,Group 4 High Dose 200 mg,Male
404,2,7.3,1.0335,1.462,0.01,70.68,0.97,52.39,74.123,0.72,40.57,57.400,0.56,223.98,316.893,3.07,71.60,101.302,0.98,34.49,48.797,0.47,4.79,6.777,0.07,8.843,12.511,0.12,Group 4 High Dose 200 mg,Male
405,29,6.8,0.8007,1.123,0.01,71.33,1.05,52.08,73.013,0.77,36.82,51.619,0.54,223.49,313.318,3.29,85.48,119.837,1.26,45.02,63.115,0.66,8.83,12.379,0.13,7.160,10.038,0.11,Group 4 High Dose 200 mg,Male
406,29,8.2,1.0939,1.535,0.01,71.25,0.87,58.10,81.544,0.71,39.44,55.354,0.48,269.79,378.653,3.29,78.45,110.105,0.96,68.86,96.646,0.84,10.09,14.161,0.12,16.823,23.611,0.21,Group 4 High Dose 200 mg,Male
151,2,7.4,1.2872,1.755,0.02,73.36,0.99,66.07,90.063,0.89,36.30,49.482,0.49,252.31,343.934,3.41,66.12,90.131,0.89,98.15,133.792,1.33,NA,NA,NA,12.948,17.650,0.17,Group 1 Vehicle 0 mg,Female
152,2,6.9,1.2947,1.889,0.02,68.55,0.99,52.50,76.586,0.76,32.02,46.710,0.46,202.66,295.638,2.94,63.39,92.473,0.92,73.61,107.381,1.07,NA,NA,NA,9.305,13.574,0.13,Group 1 Vehicle 0 mg,Female
