AnimalID,Day of Death,Terminal BW (g),Adrenal Glands Wt. (g),Adrenal Glands:BR (%),Adrenal Glands:TBW (%),Brain Weight (g),Brain: TBW (%),Epididymis Weight (g),Epididymis: BR (%),Epididymis: TBW (%),Heart Weight (g),Heart: BR (%),Heart: TBW (%),Kidneys Weight (g),Kidneys: BR (%),Kidneys:TBW (%),Liver Weight (g),Liver: BR (%),Liver:TBW (%),Spleen Weight (g),Spleen: BR (%),Spleen:TBW (%),Testes Weight (g),Testes: BR (%),Testes:TBW (%),Thymus Weight (g),Thymus: BR (%),Thymus:TBW (%),Group,Sex,Ovaries Weight (g),Ovaries: BR (%),Ovaries:TBW (%)
101,2,282.7,0.0496,2.346,0.018,2.1144,0.748,0.6922,32.737,0.245,1.0554,49.915,0.373,2.1298,100.728,0.753,8.4578,400.009,2.992,0.6665,31.522,0.236,3.1540,149.168,1.116,0.6967,32.950,0.246,Group 1 Vehicle 0 mg,Male,NA,NA,NA
102,2,286.8,0.0595,2.696,0.021,2.2069,0.769,0.5957,26.993,0.208,1.2695,57.524,0.443,2.4740,112.103,0.863,9.1528,414.736,3.191,0.6287,28.488,0.219,3.4653,157.021,1.208,0.6316,28.619,0.220,Group 1 Vehicle 0 mg,Male,NA,NA,NA
103,2,291.0,0.0498,2.490,0.017,1.9997,0.687,0.5743,28.719,0.197,1.4875,74.386,0.511,2.4317,121.603,0.836,9.5677,478.457,3.288,0.7411,37.061,0.255,2.9170,145.872,1.002,0.8415,42.081,0.289,Group 1 Vehicle 0 mg,Male,NA,NA,NA
104,2,271.5,0.0588,2.975,0.022,1.9765,0.728,0.6964,35.234,0.257,1.3394,67.766,0.493,2.3391,118.346,0.862,8.6134,435.791,3.173,0.5830,29.497,0.215,3.2273,163.284,1.189,0.5769,29.188,0.212,Group 1 Vehicle 0 mg,Male,NA,NA,NA
105,2,310.6,0.0491,2.459,0.016,1.9965,0.643,0.6308,31.595,0.203,1.3877,69.507,0.447,2.2641,113.403,0.729,10.2369,512.742,3.296,0.6404,32.076,0.206,2.9516,147.839,0.950,0.7408,37.105,0.239,Group 1 Vehicle 0 mg,Male,NA,NA,NA
106,2,276.6,0.0506,2.481,0.018,2.0393,0.737,0.6143,30.123,0.222,1.1579,56.779,0.419,2.3898,117.187,0.864,9.3971,460.800,3.397,0.7052,34.580,0.255,3.1536,154.641,1.140,0.6558,32.158,0.237,Group 1 Vehicle 0 mg,Male,NA,NA,NA
107,2,238.8,0.0461,2.346,0.019,1.9652,0.823,0.4684,23.835,0.196,1.0749,54.697,0.450,2.2716,115.591,0.951,8.3351,424.135,3.490,0.7754,39.457,0.325,2.9217,148.672,1.223,0.6097,31.025,0.255,Group 1 Vehicle 0 mg,Male,NA,NA,NA
108,2,256.4,0.0443,2.296,0.017,1.9298,0.753,0.4799,24.868,0.187,1.0501,54.415,0.410,2.1622,112.043,0.843,7.8181,405.125,3.049,0.4979,25.801,0.194,3.0608,158.607,1.194,0.4878,25.277,0.190,Group 1 Vehicle 0 mg,Male,NA,NA,NA
109,2,259.4,0.0475,2.419,0.018,1.9639,0.757,0.5496,27.985,0.212,1.0859,55.293,0.419,2.0075,102.220,0.774,7.5685,385.381,2.918,0.5545,28.235,0.214,3.1103,158.374,1.199,0.5272,26.845,0.203,Group 1 Vehicle 0 mg,Male,NA,NA,NA
110,2,288.5,0.0452,2.322,0.016,1.9470,0.675,0.6260,32.152,0.217,1.2977,66.651,0.450,2.3575,121.084,0.817,8.6299,443.241,2.991,0.6358,32.655,0.220,3.0152,154.864,1.045,0.6294,32.327,0.218,Group 1 Vehicle 0 mg,Male,NA,NA,NA
111,29,496.6,0.0549,2.484,0.011,2.2100,0.445,1.2099,54.747,0.244,1.8996,85.955,0.383,3.2315,146.222,0.651,14.6785,664.186,2.956,0.7352,33.267,0.148,3.5007,158.403,0.705,0.8310,37.602,0.167,Group 1 Vehicle 0 mg,Male,NA,NA,NA
112,29,424.1,0.0523,2.437,0.012,2.1458,0.506,1.2540,58.440,0.296,1.5825,73.749,0.373,2.6699,124.424,0.630,11.3178,527.440,2.669,0.7445,34.696,0.176,3.3928,158.114,0.800,0.4410,20.552,0.104,Group 1 Vehicle 0 mg,Male,NA,NA,NA
113,29,497.7,0.0536,2.433,0.011,2.2026,0.443,1.1585,52.597,0.233,1.7729,80.491,0.356,2.9737,135.009,0.597,12.4685,566.081,2.505,0.8812,40.007,0.177,3.9809,180.736,0.800,0.5260,23.881,0.106,Group 1 Vehicle 0 mg,Male,NA,NA,NA
114,29,487.3,0.0506,2.411,0.010,2.0987,0.431,1.0482,49.945,0.215,1.7923,85.400,0.368,3.0168,143.746,0.619,11.9988,571.725,2.462,0.6448,30.724,0.132,3.2036,152.647,0.657,0.4827,23.000,0.099,Group 1 Vehicle 0 mg,Male,NA,NA,NA
115,29,519.9,0.0727,3.407,0.014,2.1340,0.410,1.2980,60.825,0.250,2.0841,97.662,0.401,3.4651,162.376,0.666,14.9593,700.998,2.877,1.0007,46.893,0.192,3.9589,185.515,0.761,0.6769,31.720,0.130,Group 1 Vehicle 0 mg,Male,NA,NA,NA
201,2,276.4,0.0449,2.142,0.016,2.0964,0.758,0.5148,24.556,0.186,1.0844,51.727,0.392,2.1119,100.739,0.764,9.4048,448.617,3.403,0.5516,26.312,0.200,2.8229,134.655,1.021,0.6159,29.379,0.223,Group 2 Low Dose 0.3 mg,Male,NA,NA,NA
202,2,269.3,0.0568,2.861,0.021,1.9852,0.737,0.4601,23.177,0.171,1.2823,64.593,0.476,2.5494,128.420,0.947,9.2048,463.671,3.418,0.5837,29.403,0.217,2.8173,141.915,1.046,0.7656,38.565,0.284,Group 2 Low Dose 0.3 mg,Male,NA,NA,NA
203,2,252.3,0.0550,2.761,0.022,1.9917,0.789,0.6356,31.912,0.252,1.3305,66.802,0.527,1.7828,89.511,0.707,8.1968,411.548,3.249,0.6591,33.092,0.261,2.8041,140.789,1.111,0.7019,35.241,0.278,Group 2 Low Dose 0.3 mg,Male,NA,NA,NA
204,2,262.4,0.0488,2.310,0.019,2.1124,0.805,0.5796,27.438,0.221,1.3832,65.480,0.527,1.7642,83.516,0.672,7.5427,357.068,2.875,0.3845,18.202,0.147,3.1563,149.418,1.203,0.4718,22.335,0.180,Group 2 Low Dose 0.3 mg,Male,NA,NA,NA
205,2,306.8,0.0525,2.728,0.017,1.9246,0.627,0.6172,32.069,0.201,1.4008,72.784,0.457,2.3289,121.007,0.759,10.6184,551.720,3.461,0.6214,32.287,0.203,3.1065,161.410,1.013,0.8255,42.892,0.269,Group 2 Low Dose 0.3 mg,Male,NA,NA,NA
