full_name	descno	species	replicate	hprt	prnp	ratio
Ms_PrP_2104	2103	Ms	1	117295	225031	1.9185046250905835
Ms_PrP_2104	2103	Ms	2	135073	419739	3.1074974273170803
Ms_PrP_2104	2103	Ms	3	184785	394997	2.1376031604296886
Ms_PrP_1652	1651	Ms	1	201122	259711	1.2913107467109515
Ms_PrP_1652	1651	Ms	2	225447	449673	1.9945840929353684
Ms_PrP_1652	1651	Ms	3	219250	251308	1.1462166476624858
Ms_PrP_2099	2098	Ms	1	161409	293780	1.8200967727945778
Ms_PrP_2099	2098	Ms	2	216038	381392	1.7653931252835149
Ms_PrP_2099	2098	Ms	3	195806	320993	1.6393420017772693
Ms_PrP_1920	1919	Ms	1	167646	272001	1.6224723524569629
Ms_PrP_1920	1919	Ms	2	217165	330353	1.5212073768793313
Ms_PrP_1920	1919	Ms	3	239176	339360	1.4188714586747835
Ms_PrP_1781	1780	Ms	1	156476	235307	1.5037897185510878
Ms_PrP_1781	1780	Ms	2	215039	273302	1.2709415501374168
Ms_PrP_1781	1780	Ms	3	220312	384692	1.7461236791459385
Ms_PrP_1638	1637	Ms	1	199501	274658	1.3767249286970993
Ms_PrP_1638	1637	Ms	2	209725	316842	1.5107497913934915
Ms_PrP_1638	1637	Ms	3	197872	350300	1.7703363790733404
Ms_PrP_1863	1862	Ms	1	114606	204616	1.785386454461372
Ms_PrP_1863	1862	Ms	2	219180	277925	1.2680217173099735
Ms_PrP_1863	1862	Ms	3	398872	324105	0.8125539020036503
Ms_PrP_1683	1682	Ms	1	111756	151975	1.3598822434589641
Ms_PrP_1683	1682	Ms	2	169387	250913	1.4813002178443446
Ms_PrP_1683	1682	Ms	3	251985	306305	1.2155683870071632
Ms_PrP_2103	2102	Ms	1	156422	239278	1.5296953114012095
Ms_PrP_2103	2102	Ms	2	153941	283385	1.8408676051214425
Ms_PrP_2103	2102	Ms	3	140717	317224	2.254340271608974
Ms_PrP_2073	2072	Ms	1	198294	182290	0.9192915569810484
Ms_PrP_2073	2072	Ms	2	255948	608314	2.376709331582978
Ms_PrP_2073	2072	Ms	3	357681	464646	1.2990513893665026
Ms_PrP_1878	1877	Ms	1	236586	428288	1.810284632226759
Ms_PrP_1878	1877	Ms	2	187034	505311	2.70170664157319
Ms_PrP_1878	1877	Ms	3	238016	380139	1.5971153199784889
Ms_PrP_1174	1173	Ms	1	149604	349116	2.33360070586348
Ms_PrP_1174	1173	Ms	2	229873	422353	1.8373319180591021
Ms_PrP_1174	1173	Ms	3	151464	256823	1.6956042359900703
Hs_PrP_1937	1936	Hs	1	192752	413420	2.144828588030215
Hs_PrP_1937	1936	Hs	2	177465	248831	1.402141267292142
Hs_PrP_1937	1936	Hs	3	179287	295432	1.6478160714385315
Hs_PrP_2684	2683	Hs	1	153957	73908	0.4800561195658528
Hs_PrP_2684	2683	Hs	2	136958	59296	0.43295024752113787
Hs_PrP_2684	2683	Hs	3	217480	71306	0.32787382747838884
Hs_PrP_2441	2440	Hs	1	157639	57063	0.36198529551697234
Hs_PrP_2441	2440	Hs	2	160508	30575	0.1904889475913973
Hs_PrP_2441	2440	Hs	3	142632	16577	0.11622216613382691
Hs_PrP_2227	2226	Hs	1	119024	59017	0.495841174889098
Hs_PrP_2227	2226	Hs	2	131068	66837	0.5099414044618061
Hs_PrP_2227	2226	Hs	3	146378	76012	0.5192856850073099
Hs_PrP_2491	2490	Hs	1	116898	184621	1.5793341203442317
Hs_PrP_2491	2490	Hs	2	150647	204256	1.3558583974456844
