row	col	prnp	hprt	ratio	dose	compound	normed
A	1	197336	1424065	0.13857232640364028	1500	2440	0.13313356720400613
A	2	151445	1262206	0.11998437655976917	1500	2440	0.11527516694510204
A	3	212081	1477488	0.14354160575246636	1500	2440	0.13790780967587846
A	4	598444	2030146	0.29477879916025745	1500	2683	0.2832091665546823
A	5	592484	2562077	0.23125144170140086	1500	2683	0.22217516407350996
A	6	521599	2512712	0.20758407648787447	1500	2683	0.19943670799809837
A	7	694272	3432639	0.20225604848048395	1500	2705	0.1943177972227928
A	8	592889	2010915	0.29483543561015757	1500	2705	0.2832635801075515
A	9	646503	1998580	0.32348117163185863	1500	2705	0.31078501328782876
A	10	440045	2764982	0.15914931815107658	1500	2226	0.1529029424087196
A	11	586633	1920792	0.30541203836750674	1500	2226	0.2934250668237667
A	12	472634	1616332	0.2924114600218272	1500	2226	0.280934741981894
B	1	470637	2304259	0.20424657124047255	750	2440	0.19623019490359758
B	2	410708	2478433	0.16571277093227857	750	2440	0.1592087893596554
B	3	399459	2122421	0.188209125333758	750	2440	0.1808221950683137
B	4	1302403	2948195	0.4417628413317301	750	2683	0.4244243021031186
B	5	730151	2780104	0.26263441943179106	750	2683	0.2523264062671387
B	6	679932	2903287	0.23419386371378373	750	2683	0.2250021003665982
B	7	784132	3484288	0.22504798684838911	750	2705	0.21621518566364498
B	8	866992	3134775	0.27657232177748003	750	2705	0.26571726652604466
B	9	836871	2157450	0.38789821316832374	750	2705	0.37267378106024407
B	10	1180657	2308267	0.5114906551105223	750	2226	0.4914154021490754
B	11	1003319	2822386	0.3554861028930841	750	2226	0.34153379825456526
B	12	1015166	2222967	0.45667164649767633	750	2226	0.4387479586801925
C	1	978009	3037138	0.32201664856848783	375	2440	0.30937797059222477
C	2	854514	2894824	0.2951868576466134	375	2440	0.2836012093479756
C	3	1084826	2755062	0.3937573818665424	375	2440	0.3783029860385291
C	4	1723578	3411064	0.505290431372733	375	2683	0.48545852803793144
C	5	965682	2529860	0.38171361261097453	375	2683	0.36673191694277657
C	6	1489504	4115259	0.3619465992298419	375	2683	0.34774072964947894
C	7	1450158	1980736	0.7321308846812498	375	2705	0.7033958284998458
C	8	1081493	3724499	0.2903727454350236	375	2705	0.2789760439323181
C	9	1370004	1835781	0.7462785593706439	375	2705	0.7169882278477101
C	10	2051785	2645990	0.7754318799390776	375	2226	0.7449973236307448
C	11	2087198	2480288	0.841514372524481	375	2226	0.8084861759575822
C	12	1818246	2782317	0.6535006614990312	375	2226	0.6278517254745185
D	1	1933424	3311328	0.5838817537857923	187.5	2440	0.5609652570918494
D	2	944276	2034372	0.46416093025267746	187.5	2440	0.4459432991062599
D	3	1674127	2973274	0.5630584332288245	187.5	2440	0.5409592211196569
D	4	2634044	3319055	0.7936126397423363	187.5	2683	0.762464515456886
D	5	1612471	1572531	1.0253985454022847	187.5	2683	0.9851531665677438
D	6	1799233	2490279	0.7225025790282936	187.5	2683	0.6941454196269031
D	7	1450412	2002993	0.7241223509018754	187.5	2705	0.695701617846153
