full_name	descno	species	replicate	hprt	prnp	ratio
Ms_PrP_2104	2103	Ms	1	65647	2822261	42.991469526406384
Ms_PrP_2104	2103	Ms	2	383695	2444223	6.370223745422797
Ms_PrP_2104	2103	Ms	3	189754	2680734	14.127417603844979
Ms_PrP_1652	1651	Ms	1	127494	2584456	20.27119707594083
Ms_PrP_1652	1651	Ms	2	107502	1809152	16.82900783241242
Ms_PrP_1652	1651	Ms	3	120495	954077	7.91797999917009
Ms_PrP_2099	2098	Ms	1	98183	4193290	42.70892109632014
Ms_PrP_2099	2098	Ms	2	73554	2938218	39.9464067215923
Ms_PrP_2099	2098	Ms	3	71406	2982359	41.76622412682408
Ms_PrP_1920	1919	Ms	1	102643	791536	7.71154389485888
Ms_PrP_1920	1919	Ms	2	109204	587083	5.376021024870884
Ms_PrP_1920	1919	Ms	3	59233	345914	5.839886549727348
Ms_PrP_1781	1780	Ms	1	79217	1748905	22.07739500359771
Ms_PrP_1781	1780	Ms	2	68743	706377	10.275620790480485
Ms_PrP_1781	1780	Ms	3	79246	639500	8.069807939832925
Ms_PrP_1638	1637	Ms	1	127789	404903	3.168527807557771
Ms_PrP_1638	1637	Ms	2	101987	1219908	11.961406845970565
Ms_PrP_1638	1637	Ms	3	124233	619152	4.983796575789041
Ms_PrP_1863	1862	Ms	1	120193	411440	3.423161082592164
Ms_PrP_1863	1862	Ms	2	115060	373209	3.2436033373891884
Ms_PrP_1863	1862	Ms	3	92663	329955	3.5608063628416953
Ms_PrP_1683	1682	Ms	1	58637	249684	4.2581305319167075
Ms_PrP_1683	1682	Ms	2	70959	263010	3.706506574218915
Ms_PrP_1683	1682	Ms	3	NA	9128	NA
Ms_PrP_2103	2102	Ms	1	99744	2006150	20.112989252486365
Ms_PrP_2103	2102	Ms	2	97442	1428547	14.660485211715688
Ms_PrP_2103	2102	Ms	3	94121	1436491	15.262173160081172
Ms_PrP_2073	2072	Ms	1	NA	177040	NA
Ms_PrP_2073	2072	Ms	2	153830	1280171	8.321985308457387
Ms_PrP_2073	2072	Ms	3	174358	2716506	15.580047947326765
Ms_PrP_1878	1877	Ms	1	98493	1721776	17.481201709766175
Ms_PrP_1878	1877	Ms	2	129983	1421580	10.93666094797012
Ms_PrP_1878	1877	Ms	3	69579	1685447	24.22350134379626
Ms_PrP_1174	1173	Ms	1	107380	1235856	11.509182343080647
Ms_PrP_1174	1173	Ms	2	105694	971039	9.18726701610309
Ms_PrP_1174	1173	Ms	3	48671	1186906	24.38630806845966
Hs_PrP_1937	1936	Hs	1	118782	434621	3.6589803168830293
Hs_PrP_1937	1936	Hs	2	82144	NA	NA
Hs_PrP_1937	1936	Hs	3	NA	828241	NA
Hs_PrP_2684	2683	Hs	1	93323	1682231	18.025899295993487
Hs_PrP_2684	2683	Hs	2	83978	1947060	23.185358069970707
Hs_PrP_2684	2683	Hs	3	79421	2362978	29.752559146825146
Hs_PrP_2441	2440	Hs	1	2485	791178	318.3814889336016
Hs_PrP_2441	2440	Hs	2	NA	847553	NA
Hs_PrP_2441	2440	Hs	3	NA	726477	NA
Hs_PrP_2227	2226	Hs	1	33750	2070312	61.34257777777778
Hs_PrP_2227	2226	Hs	2	64317	2746856	42.70808650901006
Hs_PrP_2227	2226	Hs	3	84426	2931723	34.72535711747566
Hs_PrP_2491	2490	Hs	1	150536	1945137	12.9214075038529
Hs_PrP_2491	2490	Hs	2	101583	2159690	21.260348680389434
Hs_PrP_2491	2490	Hs	3	NA	430532	NA
Hs_PrP_835	834	Hs	1	81514	1364364	16.737787373948034
Hs_PrP_835	834	Hs	2	139401	2517701	18.060853221999842
Hs_PrP_835	834	Hs	3	64593	1552990	24.042698125183843
Hs_PrP_2675	2674	Hs	1	90717	1468946	16.192621008190304
Hs_PrP_2675	2674	Hs	2	73469	2352285	32.01738148062448
Hs_PrP_2675	2674	Hs	3	102219	1414424	13.837192694117531
Hs_PrP_2180	2179	Hs	1	60153	2694304	44.790849999168785
Hs_PrP_2180	2179	Hs	2	48262	2720977	56.3792839086652
Hs_PrP_2180	2179	Hs	3	56854	1984106	34.89826573328174
Hs_PrP_2345	2344	Hs	1	70119	2417810	34.48152426589084
Hs_PrP_2345	2344	Hs	2	91759	3773840	41.127736788761865
Hs_PrP_2345	2344	Hs	3	53715	1966717	36.61392534673741
Hs_PrP_1570	1569	Hs	1	113773	2223572	19.543933973789915
Hs_PrP_1570	1569	Hs	2	57263	2679673	46.79588914307668
Hs_PrP_1570	1569	Hs	3	NA	234910	NA
Hs_PrP_2709	2708	Hs	1	30900	2833913	91.71239482200647
Hs_PrP_2709	2708	Hs	2	79734	3152881	39.5424912835177
