descno	concnm	resid
1035	1500	1.1242609808149495
1035	1500	0.909890254741901
1035	1500	1.2750521999072182
1682	1500	0.12161833066745688
1682	1500	0.14199394699044876
1682	1500	0.14534818102649916
1862	1500	0.19442681619215343
1862	1500	0.2299018186805336
1862	1500	0.21090794293054277
1919	1500	0.18499050005190815
1919	1500	0.23171821147101349
1919	1500	0.3485334944260741
1035	750	1.0197081178033105
1035	750	1.0846366508272138
1035	750	1.1972990330343545
1682	750	0.18373568627017492
1682	750	0.20254639546005015
1682	750	0.1477120656649315
1862	750	0.2722493303838388
1862	750	0.2673352443472136
1862	750	0.26786298490096366
1919	750	0.24345722352204036
1919	750	0.28140082139810513
1919	750	0.3466576844527845
1035	375	1.2104231932140814
1035	375	1.0055772040458626
1035	375	1.002307226007844
1682	375	0.22737218554778013
1682	375	0.1844047357138759
1682	375	0.2772842322552634
1862	375	0.46294587685224553
1862	375	0.43256379583774063
1862	375	0.3726222312217
1919	375	0.46126193295881857
1919	375	0.6604612921469594
1919	375	0.6770623382913958
1035	187.5	0.9953473179722298
1035	187.5	0.7649744596999103
1035	187.5	0.8657124803984991
1682	187.5	0.41942059843
1682	187.5	0.18945059086198485
1682	187.5	0.3826892928512727
1862	187.5	0.6353593221282122
1862	187.5	0.8083166451439334
1862	187.5	0.5033277962583357
1919	187.5	0.4748380924373118
1919	187.5	0.5191326662359622
1919	187.5	1.0101205163974112
1035	93.75	1.1769637362077296
1035	93.75	1.1560774318551592
1035	93.75	0.7933598593940232
1682	93.75	0.4579929588877123
1682	93.75	0.8870144555604814
1682	93.75	0.5952759336898584
1862	93.75	0.6306763063653622
1862	93.75	0.7420475237507405
1862	93.75	0.7828242029266268
1919	93.75	0.5548303891461581
1919	93.75	0.5947065981192542
1919	93.75	0.9219885901443148
1862	46.875	1.230039654897769
1862	46.875	1.2024483520067026
1919	46.875	1.0899527880664257
1035	23.4375	1.147567870608848
1682	23.4375	0.4945219667775889
1682	23.4375	0.9419161174077424
1682	23.4375	1.0792141562708717
1862	23.4375	0.5949944695841143
1862	23.4375	0.755080961133314
1862	23.4375	0.8026555347860762
1919	23.4375	0.9600509503182494
1919	23.4375	1.100325743629024
1919	23.4375	1.010433612500795
1035	0	1.072796732970452
1035	0	1.0031128682888557
1035	0	0.9631816983522896
1682	0	1.0044640034742351
1682	0	0.9995738507747663
1682	0	0.9691464871352692
1862	0	1.2197072431484688
1862	0	0.9662605652836608
1862	0	1.1728004074068774
1919	0	0.7609131582839335
1919	0	0.8680429848811918
