descno	concnm	mean	l95	u95
615	2000	0.29939132665942964	0.2510079036783817	0.34777474964047755
734	2000	0.6884702504881949	0.5760106096370062	0.8009298913393835
903	2000	0.6129144633967423	0.5025453808421466	0.7232835459513379
1222	2000	0.32957281085116075	0.29496715623945613	0.36417846546286536
1226	2000	0.10476501410574782	0.09162522713656562	0.11790480107493001
1370	2000	0.1263304062751013	0.11374122402623826	0.13891958852396435
1466	2000	0.11605113572098898	0.08109040081527957	0.15101187062669838
1493	2000	0.6776652642459302	0.6211527990755101	0.7341777294163503
1651	2000	0.16595697694113595	0.15715007941269823	0.17476387446957367
1780	2000	0.23413942986848882	0.21051188411503943	0.25776697562193823
1919	2000	0.1213853762542791	0.11210902713234276	0.13066172537621545
2098	2000	0.13318570097834315	0.11527550482040584	0.15109589713628047
