animal	cohort	dpi	acm	prion_endpoint
YBA2	YB-none-126	151	TRUE	FALSE
YBA3	YB-none-126	165	TRUE	TRUE
YBA4	YB-none-126	165	TRUE	TRUE
YBB1	YB-1682-75	194	FALSE	FALSE
YBB2	YB-1682-75	461	TRUE	TRUE
YBB3	YB-1682-75	445	TRUE	TRUE
YBB4	YB-1682-75	286	TRUE	FALSE
YBC1	YB-none-126	172	TRUE	FALSE
YBC2	YB-none-126	160	TRUE	FALSE
YBC3	YB-none-126	172	TRUE	FALSE
YBC4	YB-none-126	162	TRUE	TRUE
YBD1	YB-1682-75	194	FALSE	FALSE
YBD2	YB-1682-75	371	TRUE	FALSE
YBD3	YB-1682-75	442	TRUE	TRUE
YBD4	YB-1682-75	442	TRUE	FALSE
YBE1	YB-1682-126	274	TRUE	FALSE
YBE2	YB-1682-126	126	FALSE	FALSE
YBE4	YB-1682-126	300	TRUE	FALSE
YBF1	YB-1682-126	309	TRUE	TRUE
YBF2	YB-1682-126	126	FALSE	FALSE
YBF3	YB-1682-126	228	TRUE	TRUE
YBF4	YB-1682-126	251	TRUE	TRUE
YBG1	YB-NTC-126	165	TRUE	TRUE
YBG2	YB-NTC-126	126	FALSE	FALSE
YBG3	YB-NTC-126	162	TRUE	TRUE
YBG4	YB-NTC-126	162	TRUE	TRUE
YBH1	YB-1682-126	209	TRUE	FALSE
YBH2	YB-1682-126	265	TRUE	FALSE
YBH4	YB-1682-126	356	TRUE	FALSE
YBI1	YB-NTC-75	160	TRUE	TRUE
YBI2	YB-NTC-75	279	TRUE	FALSE
YBI3	YB-NTC-75	169	TRUE	TRUE
YBI4	YB-NTC-75	169	TRUE	TRUE
YBJ1	YB-NTC-75	160	TRUE	TRUE
YBJ2	YB-NTC-75	165	TRUE	TRUE
YBJ3	YB-NTC-75	165	TRUE	TRUE
YBJ4	YB-NTC-75	141	TRUE	TRUE
YBK1	YB-saline-75	165	TRUE	FALSE
YBK2	YB-saline-75	162	TRUE	TRUE
YBK3	YB-saline-75	172	TRUE	FALSE
YBK4	YB-saline-75	501	FALSE	FALSE
YBL1	YB-saline-75	162	TRUE	TRUE
YBL2	YB-saline-75	172	TRUE	TRUE
YBL3	YB-saline-75	165	TRUE	TRUE
YBL4	YB-saline-75	286	TRUE	TRUE
YBM1	YB-NTC-126	188	TRUE	TRUE
YBM2	YB-NTC-126	167	TRUE	TRUE
YBM3	YB-NTC-126	160	TRUE	TRUE
YBM4	YB-NTC-126	228	TRUE	FALSE
YBN1	YB-NTC-126	307	TRUE	TRUE
YBN2	YB-NTC-126	179	TRUE	TRUE
YBO1	YB-saline-126	162	TRUE	TRUE
YBO2	YB-saline-126	160	TRUE	FALSE
YBO3	YB-saline-126	162	TRUE	TRUE
YBO4	YB-saline-126	169	TRUE	TRUE
YBP1	YB-saline-126	165	TRUE	TRUE
YBP2	YB-saline-126	162	TRUE	TRUE
YBP3	YB-saline-126	172	TRUE	TRUE
YBP4	YB-saline-126	165	TRUE	TRUE
YBQ1	YB-none-126	249	TRUE	FALSE
YBQ2	YB-none-126	159	TRUE	FALSE
YBQ3	YB-none-126	162	TRUE	TRUE
YBQ4	YB-none-126	165	TRUE	TRUE
YBS1	YB-uninoc	501	FALSE	FALSE
YBS2	YB-uninoc	501	FALSE	FALSE
YBS3	YB-uninoc	501	FALSE	FALSE
YBS4	YB-uninoc	501	FALSE	FALSE
YBT1	YB-uninoc	501	FALSE	FALSE
YBT2	YB-uninoc	501	FALSE	FALSE
YBT3	YB-uninoc	501	FALSE	FALSE
YBT4	YB-uninoc	501	FALSE	FALSE
YBU1	YB-uninoc	501	FALSE	FALSE
YBU2	YB-uninoc	501	FALSE	FALSE
YBU3	YB-uninoc	386	TRUE	FALSE
YBU4	YB-uninoc	447	TRUE	FALSE
