cohort	dpi	mean	sd	n	l95	u95
YB-1682-126	60	0	0	10	0	0
YB-1682-126	71	0.014359045584379814	0.027747512038751386	10	-0.002839040554917934	0.031557131723677564
YB-1682-126	78	0.04375232412556457	0.03808154815334939	10	0.020149136043531787	0.06735551220759735
YB-1682-126	85	0.05225016395570459	0.03568017858826252	10	0.03013536015025037	0.0743649677611588
YB-1682-126	92	0.06039790464047492	0.033655701518992845	10	0.03953788472251693	0.0812579245584329
YB-1682-126	99	0.07618083762228547	0.053925631196349376	10	0.04275738512911732	0.10960429011545363
YB-1682-126	106	0.07445209837827194	0.053471284975707196	10	0.04131025259019345	0.10759394416635043
YB-1682-126	113	0.078512959126772	0.07052361535982324	10	0.03480196946690339	0.12222394878664061
YB-1682-126	116	0.06588399360308708	0.06535977106560338	10	0.02537358779584955	0.10639439941032461
YB-1682-126	118	0.06091380687796819	0.0695354990196991	10	0.017815258070791866	0.10401235568514453
YB-1682-126	120	0.05295013063777362	0.07489480562112234	10	0.00652984918482126	0.09937041209072597
YB-1682-126	123	0.059123457318252325	0.07231895715156421	10	0.014299703287267436	0.1039472113492372
YB-1682-126	125	0.03701447385639254	0.07403008758097407	10	-0.008869849802581535	0.0828987975153666
YB-1682-126	127	0.03819742801418993	0.08440600736518032	8	-0.020292950962994737	0.09668780699137461
YB-1682-126	130	0.0382073273908954	0.08815034291842101	8	-0.022877743745808955	0.09929239852759975
YB-1682-126	132	0.0690551561448244	0.08071858836752348	8	0.0131200281663926	0.12499028412325619
YB-1682-126	137	0.06298016837568501	0.08056095594086768	8	0.0071542740959199685	0.11880606265545006
YB-1682-126	139	0.06761602777426205	0.07475025707632321	8	0.015816742373638323	0.11941531317488578
YB-1682-126	141	0.06825875422206837	0.07684588373165493	8	0.015007273639000694	0.12151023480513604
YB-1682-126	144	0.0643786902910466	0.08280524264641595	8	0.0069975846698299565	0.12175979591226326
YB-1682-126	146	0.063708019192127735	0.0804435549484214	8	0.007963479649481943	0.11945255873477353
YB-1682-126	148	0.06037497998244615	0.0856678535800554	8	0.0010101861902158046	0.11973977377467648
YB-1682-126	151	0.05650802880957777	0.09038873689004666	8	-0.006128170212304093	0.11914422783145963
YB-1682-126	153	0.07503343717593458	0.0739247511034405	8	0.023806198229219505	0.12626067612264966
YB-1682-126	155	0.0769172048147342	0.07614537130905452	8	0.02415115457430618	0.1296832550551622
YB-1682-126	158	0.07071112129419836	0.07481017051318688	8	0.01887031800003395	0.12255192458836278
YB-1682-126	160	0.08092270051993344	0.08183105506552789	8	0.024216672450418593	0.1376287285894483
YB-1682-126	165	0.05421337181237479	0.08794339294541964	8	-0.00672829030963943	0.115155033934389
YB-1682-126	167	0.049601293409006875	0.08800893287040683	8	-0.0113857855638963	0.11058837238191005
YB-1682-126	169	0.03507346522990845	0.10224390485417709	8	-0.0357779460583247	0.1059248765181416
YB-1682-126	172	0.04412951794261484	0.0991144606993933	8	-0.024553299186089936	0.11281233507131962
YB-1682-126	174	0.05876494416755755	0.10336871560589025	8	-0.012865921204561773	0.1303958095396769
YB-1682-126	176	0.04867305495589326	0.09598148015686526	8	-0.01783871742160338	0.1151848273333899
