genotype	color	animal	sex	age_wks	plate	ngml_av	rel
Tg26372 hom	#B22222	69823.2	M	8	26	641.062	6.403384175881254
Tg25109 hom	#5401AB	71636.2	M	16	26	200.666	2.004395033612018
WT	#8B4513	72829.1	M	12	26	104.308	1.0419026500054938
WT	#8B4513	72829.2	M	12	26	102.78	1.0266398969164845
Hom KO	#CDC5BF	73523.1	F	12	26	10.24	0.10228441860697413
Tg25109 het	#0001CD	73523.2	F	12	26	89.977	0.898754407519503
Tg25109 het	#0001CD	73523.4	F	12	26	130.829	1.3068133009699041
Tg25109 hom	#5401AB	73539.3	M	9	26	242.768	2.4249398180056536
WT	#8B4513	73542.4	F	9	26	93.251	0.9314574530780219
Het KO	#E9C2A6	73545.1	F	9	26	64.529	0.6445616453407649
Hom KO	#CDC5BF	73545.2	F	9	26	10.24	0.10228441860697413
Tg26372 hom	#B22222	73956.1	F	8	26	603.36	6.026789727607803
Tg26372 het	#E47833	74431.2	M	8	26	368.956	3.685395503081518
Tg26372 het	#E47833	74432.1	F	8	26	372.792	3.7237122052081144
Het KO	#E9C2A6	75321.1	F	12	26	61.548	0.6147852926193401
Het KO	#E9C2A6	75321.2	F	12	26	65.763	0.6568877168799258
Hom KO	#CDC5BF	75322.1	M	12	26	10.24	0.10228441860697413
Tg25109 het	#0001CD	75322.2	M	12	26	118.69	1.1855603168419686
Tg26372 hom	#B22222	69823.1	M	8	27	740.577	5.356233885053647
Tg26372 hom	#B22222	69823.3	M	8	27	485.456	3.511067555301614
Tg25109 hom	#5401AB	71636.4	M	16	27	254.412	1.8400384769770983
Tg25109 hom	#5401AB	72808.1	M	13	27	352.464	2.5492009879614796
Hom KO	#CDC5BF	72829.3	M	12	27	8.128	0.05878587779220263
Tg25109 het	#0001CD	73523.3	F	12	27	161.394	1.1672844439462047
Tg25109 hom	#5401AB	73539.4	M	9	27	282.888	2.0459915596555875
Tg25109 hom	#5401AB	73539.5	M	9	27	169.445	1.2255134181225116
WT	#8B4513	73542.5	F	9	27	126.475	0.9147322703947868
WT	#8B4513	73545.3	F	9	27	150.054	1.0852677296052131
Tg26372 hom	#B22222	73956.2	F	8	27	815.901	5.901015806660422
Tg26372 hom	#B22222	73956.3	F	8	27	747.361	5.405299263368399
Tg26372 het	#E47833	74431.1	M	8	27	429.169	3.1039710120819155
Tg26372 het	#E47833	74432.2	F	8	27	595.245	4.305118088880371
Tg26372 het	#E47833	74432.3	F	8	27	287.85	2.0818792965656407
Hom KO	#CDC5BF	75321.3	F	12	27	10.215	0.07388013553732159
Tg25109 het	#0001CD	75322.3	M	12	27	146.808	1.0617909875636913
