sequence	concnm	status	n_bioreps	mean	l95	u95
UNT	500	not advanced	30	1.0090520238156195	0.9667854466775893	1.05131860095365
UNT	2000	not advanced	30	1	0.9727992386844617	1.0272007613155383
725	500	not advanced	3	0.9585226094629242	0.8908311714363251	1.0262140474895234
725	2000	not advanced	3	0.6520371880144222	0.6094808605604244	0.6945935154684201
834	500	not advanced	3	0.535893834590948	0.48855366656463795	0.583234002617258
834	2000	not advanced	3	0.8571978746598115	0.7917109152034303	0.9226848341161926
863	500	not advanced	3	0.695306131631844	0.6364001461867387	0.7542121170769492
863	2000	not advanced	3	0.49135809599449004	0.4832479186648191	0.499468273324161
902	500	not advanced	3	0.3389377348385665	0.326370731605823	0.35150473807131
902	2000	not advanced	3	0.17602298799840885	0.16930748836686565	0.18273848762995204
903	500	not advanced	4	0.7424124960169919	0.7016406195549539	0.7831843724790298
903	2000	not advanced	4	0.38702399507427987	0.3232036195433837	0.450844370605176
911	500	not advanced	3	0.8776766928282366	0.8355527336512178	0.9198006520052553
911	2000	not advanced	3	0.704107461849285	0.6778514458980445	0.7303634778005255
929	500	not advanced	3	0.9240411779715153	0.8542595598554943	0.9938227960875363
929	2000	not advanced	3	0.8927364241251923	0.8498203244972811	0.9356525237531035
932	500	not advanced	3	1.0391784133997977	0.9560796358106173	1.122277190988978
932	2000	not advanced	3	0.7855670799163106	0.7425236678499101	0.8286104919827111
952	500	not advanced	3	0.5217641367150764	0.4853194707845673	0.5582088026455855
952	2000	not advanced	3	0.19178978140797567	0.1853610298145111	0.19821853300144024
953	500	not advanced	3	0.7747969320938267	0.7368970038733283	0.8126968603143251
953	2000	not advanced	3	0.6618652293681567	0.6435143751835194	0.6802160835527941
954	500	not advanced	3	0.5168558562552317	0.4748488324616519	0.5588628800488115
954	2000	not advanced	4	0.23457354876284658	0.1947395274266573	0.2744075700990359
955	500	not advanced	4	0.41285968600917367	0.33481793370299634	0.490901438315351
955	2000	not advanced	3	0.21461866691906076	0.20416350749980186	0.22507382633831965
956	500	not advanced	3	0.8404648499737353	0.798990113933687	0.8819395860137835
956	2000	not advanced	3	0.6158234581555974	0.5936807797640851	0.6379661365471097
957	500	not advanced	3	0.3155127742449724	0.308342906037085	0.3226826424528599
957	2000	not advanced	3	0.3309812940702213	0.3117312625779198	0.35023132556252284
979	500	not advanced	3	0.4772412024958988	0.46898014973685365	0.48550225525494395
979	2000	not advanced	3	0.48387939079765657	0.430953952214964	0.5368048293803491
980	500	not advanced	3	0.7890595994436566	0.765245004959207	0.8128741939281061
980	2000	not advanced	3	0.8268184242357499	0.7940889155353015	0.8595479329361984
982	500	not advanced	3	0.8226272624435427	0.767892923039099	0.8773616018479864
982	2000	not advanced	3	0.47392993534757744	0.4443002723474322	0.5035595983477227
985	500	not advanced	3	0.8129373371216502	0.807854341538096	0.8180203327052044
985	2000	not advanced	3	0.5723554365997536	0.5435757162336289	0.6011351569658784
1013	500	not advanced	3	0.583355424046903	0.452733271124912	0.713977576968894
1013	2000	not advanced	3	0.24760077049780996	0.24644922483241624	0.24875231616320367
1035	500	advanced	3	0.1005600257654263	0.09693469263462012	0.10418535889623248
1035	2000	advanced	3	0.044313521990913284	0.04078102646165356	0.047846017520173006
1038	500	not advanced	3	0.3028618881612247	0.2941874110041511	0.31153636531829837
1038	2000	not advanced	3	0.13435192571891447	0.12867760215612462	0.14002624928170432
