display_tx	n	mean	l95	u95
saline	8	1	0.9581042723689092	1.0418957276310907
2439-s2 matched tail	8	0.8931433162515681	0.8400934233468342	0.9461932091563019
2439-s2 matched tail	8	0.7419302131901216	0.6494599120648221	0.8344005143154212
2439-s2 matched tail	5	0.40145967751579664	0.3587027247096124	0.4442166303219809
2439-s2 fixed tail	8	0.9227568585153854	0.8788611322641408	0.96665258476663
2439-s2 fixed tail	8	0.6601470672206604	0.6259366318151777	0.6943575026261432
2439-s2 fixed tail	8	0.42688333394372757	0.39080775911381954	0.4629589087736356
2439-s3 fixed tail	8	0.500905940338849	0.4522497718249007	0.5495621088527974
2439-s4 fixed tail	8	0.8815058971229842	0.831469287520657	0.9315425067253115
2439-s4 fixed tail	8	0.5699238764493698	0.4969281477799208	0.6429196051188188
2439-s4 fixed tail	6	0.29466929244855034	0.2634302818802924	0.3259083030168083
