animal	scaffold	region	dose_dio	residual
87021.3	s2 matched	HP	0.2	1.1889588445947312
87021.3	s2 matched	PFC	0.2	0.6016650449842325
87021.3	s2 matched	VC	0.2	0.6051936292367276
87021.3	s2 matched	Str	0.2	0.7161838524207451
87021.3	s2 matched	Thal	0.2	1.2449272814463581
87021.3	s2 matched	CB	0.2	0.8715458033735657
87023.1	s2 matched	HP	0.2	0.8198062628291346
87023.1	s2 matched	PFC	0.2	3.1748605044474276
87023.1	s2 matched	VC	0.2	1.1282356388632933
87023.1	s2 matched	Str	0.2	1.7551157036095624
87023.1	s2 matched	Thal	0.2	0.7634416546179189
87023.1	s2 matched	CB	0.2	0.8906131466795878
87024.1	s2 matched	HP	5	0.21496140279603262
87024.1	s2 matched	PFC	5	0.2351863967939034
87024.1	s2 matched	VC	5	0.19565140021507194
87024.1	s2 matched	Str	5	0.3775762279094898
87024.1	s2 matched	Thal	5	0.2756881494979151
87024.1	s2 matched	CB	5	0.5685233032153826
87024.2	s2 matched	HP	5	0.2253722041149159
87024.2	s2 matched	PFC	5	0.2678571193989265
87024.2	s2 matched	VC	5	0.19624636715462446
87024.2	s2 matched	Str	5	0.4194196991988912
87024.2	s2 matched	Thal	5	0.30451762481665157
87024.2	s2 matched	CB	5	0.6385656991242873
87024.3	s2 matched	HP	5	0.2516077409720418
87024.3	s2 matched	PFC	5	0.33040541998738954
87024.3	s2 matched	VC	5	0.23902958253918843
87024.3	s2 matched	Str	5	0.32589928150622444
87024.3	s2 matched	Thal	5	0.2045842596642208
87024.3	s2 matched	CB	5	0.48114338393295436
87024.4	s2 matched	HP	5	0.24003687806501847
87024.4	s2 matched	PFC	5	0.2621524930063183
87024.4	s2 matched	VC	5	0.23957026785257896
87024.4	s2 matched	Str	5	0.3787061453059668
87024.4	s2 matched	Thal	5	0.3049679801197755
87024.4	s2 matched	CB	5	0.4057686390675808
87025.1	s2 matched	HP	0.2	0.6623415296534775
87025.1	s2 matched	PFC	0.2	0.5488828738625523
87025.1	s2 matched	VC	0.2	0.6949837101658052
87025.1	s2 matched	Str	0.2	0.7398390984076663
87025.1	s2 matched	Thal	0.2	0.7185413013310339
87025.1	s2 matched	CB	0.2	0.7490525063978097
87025.2	s2 matched	HP	0.2	0.649613949061586
87025.2	s2 matched	PFC	0.2	0.5688412895969251
87025.2	s2 matched	VC	0.2	0.6857909377497263
87025.2	s2 matched	Str	0.2	0.7985589334969172
87025.2	s2 matched	Thal	0.2	0.6570406906960974
87025.2	s2 matched	CB	0.2	1.3248579095943902
87026.1	s2 matched	HP	1	0.5708661705530464
87026.1	s2 matched	PFC	1	0.4385615269543115
87026.1	s2 matched	VC	1	0.4858525701756352
87026.1	s2 matched	Str	1	0.49252136390252993
87026.1	s2 matched	Thal	1	0.5039238477926398
87026.1	s2 matched	CB	1	0.5402190829279684
87026.2	s2 matched	HP	1	0.5232290973723573
87026.2	s2 matched	PFC	1	0.4334497340779763
87026.2	s2 matched	VC	1	0.5642727801832977
87026.2	s2 matched	Str	1	0.48265099226194447
87026.2	s2 matched	Thal	1	0.5712983369353655
87026.2	s2 matched	CB	1	0.6769662389664413
87026.3	s2 matched	HP	1	0.32334254689797387
87026.3	s2 matched	PFC	1	0.45668682144603545
87026.3	s2 matched	VC	1	0.22237809826782812
87026.3	s2 matched	Str	1	0.5387298071010127
87026.3	s2 matched	Thal	1	0.3094650240310433
87026.3	s2 matched	CB	1	0.6391375290394151
87026.4	s2 matched	HP	1	0.417710522284545
87026.4	s2 matched	PFC	1	1.0311652713269672
87026.4	s2 matched	VC	1	0.41077884155893873
87026.4	s2 matched	Str	1	0.6731398292154335
87026.4	s2 matched	Thal	1	0.45282482321834044
87027.1	s2 matched	HP	1	0.6313932123549771
87027.1	s2 matched	PFC	1	0.4765436974128987
87027.1	s2 matched	VC	1	0.8416283701898748
87027.1	s2 matched	Str	1	0.5975242362602474
87027.1	s2 matched	Thal	1	1.0022552486438678
87027.1	s2 matched	CB	1	0.8250549984873854
87027.2	s2 matched	HP	1	0.44647607932060973
87027.2	s2 matched	PFC	1	1.1623055493589933
87027.2	s2 matched	VC	1	0.5279353333181364
87027.2	s2 matched	Str	1	0.677660354340661
87027.2	s2 matched	Thal	1	0.5829368347901639
87027.2	s2 matched	CB	1	0.7480459226289191
87027.3	s2 matched	HP	1	0.44272896906134057
87027.3	s2 matched	PFC	1	0.4076736629320401
87027.3	s2 matched	VC	1	0.5790826387142735
87027.3	s2 matched	Str	1	0.5947738318864202
87027.3	s2 matched	Thal	1	0.4774944830003238
87027.3	s2 matched	CB	1	0.45499023413453293
87028.1	s2 matched	HP	0.2	0.7481053725632707
87028.1	s2 matched	PFC	0.2	0.8976722422581189
87028.1	s2 matched	VC	0.2	0.6229662225027363
87028.1	s2 matched	Str	0.2	1.0304153459111725
87028.1	s2 matched	Thal	0.2	0.6931587919681585
87028.1	s2 matched	CB	0.2	1.0459956592896835
87028.2	s2 matched	HP	0.2	0.5559452612193151
87028.2	s2 matched	PFC	0.2	0.7942178370220588
87028.2	s2 matched	VC	0.2	0.8292232093858161
87028.2	s2 matched	Str	0.2	0.9071674481938885
87028.2	s2 matched	Thal	0.2	0.6156696369466117
87028.2	s2 matched	CB	0.2	0.72828978167236
87028.3	s2 matched	HP	1	0.4475833150978794
87028.3	s2 matched	PFC	1	0.7454433393897943
87028.3	s2 matched	VC	1	0.5783027003758552
87028.3	s2 matched	Str	1	1.552214899418566
87028.3	s2 matched	Thal	1	0.897394774727339
87028.3	s2 matched	CB	1	0.6714662032724781
95042.1	s2 matched	HP	0.2	0.6063901671729953
95042.1	s2 matched	PFC	0.2	0.7284160536381602
95042.1	s2 matched	VC	0.2	0.6011175867877624
95042.1	s2 matched	Str	0.2	0.9134602354100878
95042.1	s2 matched	Thal	0.2	0.7125924732516199
95042.1	s2 matched	CB	0.2	1.2154881349970887
95042.2	s2 matched	HP	0.2	0.8417362602604607
95042.2	s2 matched	PFC	0.2	0.876634684635502
95042.2	s2 matched	VC	0.2	0.72618351691311
95042.2	s2 matched	Str	0.2	0.8113189926715716
95042.2	s2 matched	Thal	0.2	0.8327746196925826
95042.2	s2 matched	CB	0.2	1.5443633173509164
95043.1	s2 matched	HP	5	0.2783397667435145
95043.1	s2 matched	PFC	5	0.3336837696256816
95043.1	s2 matched	VC	5	0.27405035088873764
95043.1	s2 matched	Str	5	0.628579536467002
95043.1	s2 matched	Thal	5	0.6069295421487874
95043.1	s2 matched	CB	5	0.5210292048015417
95043.2	s2 matched	HP	5	0.17402228019342209
95043.2	s2 matched	PFC	5	0.43534115421983216
95043.2	s2 matched	VC	5	0.19114106179436452
95043.2	s2 matched	Str	5	0.7488765700164209
95043.2	s2 matched	Thal	5	0.1469686266219107
95043.2	s2 matched	CB	5	0.8279713417631509
95043.3	s2 matched	HP	5	0.1202721309092998
95043.3	s2 matched	PFC	5	0.27522615394112304
95043.3	s2 matched	VC	5	0.14383846313501425
95043.3	s2 matched	Str	5	0.3345505691612351
95043.3	s2 matched	Thal	5	0.12127201896542238
95043.3	s2 matched	CB	5	0.4319354231562804
95043.4	s2 matched	HP	5	0.13336616539537713
95043.4	s2 matched	PFC	5	0.2943690868669927
95043.4	s2 matched	VC	5	0.23635984565049528
95043.4	s2 matched	Str	5	0.3034687598719434
95043.4	s2 matched	Thal	5	0.16886568844897748
95043.4	s2 matched	CB	5	0.40988386335691
87019.1	s2 fixed	HP	1	0.2955621561877412
87019.1	s2 fixed	PFC	1	0.3506310696848371
87019.1	s2 fixed	VC	1	0.29481239919238034
87019.1	s2 fixed	Str	1	0.44640374518576764
87019.1	s2 fixed	Thal	1	0.43639702980454764
87019.1	s2 fixed	CB	1	0.575491400293005
87019.2	s2 fixed	HP	1	0.7383724049767156
87019.2	s2 fixed	PFC	1	0.5375465985873611
87019.2	s2 fixed	VC	1	0.31631980115815395
87019.2	s2 fixed	Str	1	0.5524141975419739
87019.2	s2 fixed	Thal	1	0.3394317254885838
87019.2	s2 fixed	CB	1	0.7405493694771288
87019.3	s2 fixed	HP	1	0.47272753507657683
87019.3	s2 fixed	PFC	1	0.48442009473404807
87019.3	s2 fixed	VC	1	0.2728799938636889
87019.3	s2 fixed	Str	1	0.6746421968126994
87019.3	s2 fixed	Thal	1	0.3102050871139444
87019.3	s2 fixed	CB	1	0.5542965515594909
87019.4	s2 fixed	HP	1	0.8676151104781789
87019.4	s2 fixed	PFC	1	0.4009080753228046
87019.4	s2 fixed	VC	1	0.6282023163685716
87019.4	s2 fixed	Str	1	0.760287666888502
87019.4	s2 fixed	Thal	1	0.6783034638529607
87019.4	s2 fixed	CB	1	0.6532466535002109
87019.5	s2 fixed	HP	1	0.5908124539211614
87019.5	s2 fixed	PFC	1	0.3432453703403974
87019.5	s2 fixed	VC	1	0.7586692993492503
87019.5	s2 fixed	Str	1	0.25762903799845516
87019.5	s2 fixed	Thal	1	0.5065865434461858
87019.5	s2 fixed	CB	1	0.7283007638186639
87021.1	s2 fixed	HP	0.2	0.6261025371247998
87021.1	s2 fixed	PFC	0.2	0.5663899693265317
87021.1	s2 fixed	VC	0.2	1.0369341500962963
87021.1	s2 fixed	Str	0.2	0.7963235725463634
87021.1	s2 fixed	Thal	0.2	0.6251884923168999
87021.1	s2 fixed	CB	0.2	0.8463936997026059
87021.2	s2 fixed	HP	0.2	0.7481650568746094
87021.2	s2 fixed	PFC	0.2	0.6789012356095158
87021.2	s2 fixed	VC	0.2	0.6631560981304331
87021.2	s2 fixed	Str	0.2	0.6894004272967622
87021.2	s2 fixed	Thal	0.2	0.49854832573595287
87021.2	s2 fixed	CB	0.2	0.7623949842423685
87022.2	s2 fixed	HP	0.2	0.6995853793149378
87022.2	s2 fixed	PFC	0.2	1.551639997558491
87022.2	s2 fixed	VC	0.2	1.3363401605557739
87022.2	s2 fixed	Str	0.2	0.8624985613641618
87022.2	s2 fixed	Thal	0.2	0.7034654065104332
87022.2	s2 fixed	CB	0.2	0.895186063611135
87022.3	s2 fixed	PFC	0.2	0.7521904817709697
87022.3	s2 fixed	VC	0.2	0.7798462742461316
87022.3	s2 fixed	Str	0.2	0.8900577359159789
87022.3	s2 fixed	Thal	0.2	0.771266578264456
87022.3	s2 fixed	CB	0.2	0.9283057046065644
87029.1	s2 fixed	HP	5	0.11258252906241693
87029.1	s2 fixed	PFC	5	0.2855591112907135
87029.1	s2 fixed	VC	5	0.1621035887611592
87029.1	s2 fixed	Str	5	0.3074945311190449
87029.1	s2 fixed	Thal	5	0.1443242911385991
87029.1	s2 fixed	CB	5	0.26241168209897137
95040.1	s2 fixed	HP	0.2	0.5933414846523203
95040.1	s2 fixed	PFC	0.2	0.6398840410690629
95040.1	s2 fixed	VC	0.2	0.4077236962569485
95040.1	s2 fixed	Str	0.2	0.703005078669471
95040.1	s2 fixed	Thal	0.2	0.6458779216274568
95040.1	s2 fixed	CB	0.2	0.7759681756973953
95041.1	s2 fixed	HP	5	0.3180804998729613
95041.1	s2 fixed	PFC	5	0.19834757523838764
95041.1	s2 fixed	VC	5	0.27535430659162374
95041.1	s2 fixed	Str	5	0.2181629853680871
95041.1	s2 fixed	Thal	5	0.16708397157197846
95041.1	s2 fixed	CB	5	0.4809301260965786
96725.1	s2 fixed	HP	0.2	0.8562542011480223
96725.1	s2 fixed	PFC	0.2	0.7405571268400587
96725.1	s2 fixed	VC	0.2	0.5775379649340752
96725.1	s2 fixed	Str	0.2	0.7286221533613569
96725.1	s2 fixed	Thal	0.2	0.6014868671379552
96725.1	s2 fixed	CB	0.2	0.6920923605472972
97827.1	s2 fixed	HP	1	0.4845203163507696
97827.1	s2 fixed	PFC	1	0.45367336339729114
97827.1	s2 fixed	VC	1	0.36661799629145186
97827.1	s2 fixed	Str	1	0.3885850218213088
97827.1	s2 fixed	Thal	1	0.35008104669135975
97827.1	s2 fixed	CB	1	0.5441206143533005
97827.2	s2 fixed	HP	1	0.3950917191188568
97827.2	s2 fixed	PFC	1	0.36874292870477987
97827.2	s2 fixed	VC	1	0.4525983340842016
97827.2	s2 fixed	Str	1	0.5895971003143612
97827.2	s2 fixed	Thal	1	0.4237532383386573
97827.2	s2 fixed	CB	1	0.6239305709297244
97827.3	s2 fixed	HP	5	0.21622620106985216
97827.3	s2 fixed	PFC	5	0.22122901326200012
97827.3	s2 fixed	VC	5	0.14661209970439792
97827.3	s2 fixed	Str	5	0.23884500087747992
97827.3	s2 fixed	Thal	5	0.20906671993592735
97827.3	s2 fixed	CB	5	0.4468614501398329
97827.4	s2 fixed	HP	5	0.20186545076802834
97827.4	s2 fixed	PFC	5	0.05842093907262415
97827.4	s2 fixed	VC	5	0.2263891591374072
97827.4	s2 fixed	Str	5	0.2382582326873814
97827.4	s2 fixed	Thal	5	0.1457440194349156
97827.4	s2 fixed	CB	5	0.3782865845436041
97836.3	s2 fixed	HP	0.2	0.5882928801112002
97836.3	s2 fixed	PFC	0.2	0.7880741783802417
97836.3	s2 fixed	VC	0.2	0.5368188768284256
97836.3	s2 fixed	Str	0.2	1.699387582192914
97836.3	s2 fixed	Thal	0.2	0.4773991336152538
97836.3	s2 fixed	CB	0.2	1.298665393330238
97836.4	s2 fixed	HP	0.2	0.5262054348950833
97836.4	s2 fixed	PFC	0.2	0.8002005936487436
97836.4	s2 fixed	VC	0.2	0.4708025569005156
97836.4	s2 fixed	Str	0.2	0.5755614712561151
97836.4	s2 fixed	Thal	0.2	0.5608509648775164
97836.4	s2 fixed	CB	0.2	1.2317918317118557
97838.2	s2 fixed	HP	5	0.20412523111679148
97838.2	s2 fixed	PFC	5	0.2854130209253958
97838.2	s2 fixed	VC	5	0.2281361915240948
97838.2	s2 fixed	Str	5	0.19853427787155162
97838.2	s2 fixed	Thal	5	0.10701415943745884
97838.2	s2 fixed	CB	5	0.2652877817079663
97838.3	s2 fixed	HP	5	0.13956297740544715
97838.3	s2 fixed	PFC	5	0.17765593171538224
97838.3	s2 fixed	VC	5	0.11970644840153588
97838.3	s2 fixed	Str	5	0.1955877429154362
97838.3	s2 fixed	Thal	5	0.12674584560847946
97838.3	s2 fixed	CB	5	0.2863644012524957
97839.1	s2 fixed	HP	5	1.329863547842232
97839.1	s2 fixed	PFC	5	0.24476734171082884
97839.1	s2 fixed	VC	5	0.23382738360173666
97839.1	s2 fixed	Str	5	0.23430456408200562
97839.1	s2 fixed	Thal	5	0.1596096125571643
97839.1	s2 fixed	CB	5	0.41300827167772064
97839.2	s2 fixed	HP	5	0.24538798934121728
97839.2	s2 fixed	PFC	5	0.19056807231507145
97839.2	s2 fixed	VC	5	0.18411919972398288
97839.2	s2 fixed	Str	5	0.23955221751478994
97839.2	s2 fixed	Thal	5	0.21330889227645763
97839.2	s2 fixed	CB	5	0.37491481060970067
97823.2	s4 fixed	HP	5	0.1195910665617025
97823.2	s4 fixed	PFC	5	0.2109096081911126
97823.2	s4 fixed	VC	5	0.109606901554548
97823.2	s4 fixed	Str	5	0.18008134623628758
97823.2	s4 fixed	Thal	5	0.09556220319222337
97823.2	s4 fixed	CB	5	0.22908183264659257
97823.3	s4 fixed	HP	5	0.12893193043317666
97823.3	s4 fixed	PFC	5	0.13931157756747972
97823.3	s4 fixed	VC	5	0.19360178907044198
97823.3	s4 fixed	Str	5	0.19466004397494335
97823.3	s4 fixed	Thal	5	0.1695105480132012
97823.3	s4 fixed	CB	5	0.3152042577247381
97824.1	s4 fixed	HP	5	0.1802895868681315
