study_id	display_tx	region	target	residual
CMR-1313	saline	VC	GFAP	0.8731018193469945
CMR-1313	2440-s1	VC	GFAP	1.9106585159333518
CMR-1313	saline	VC	GFAP	1.0559922015455852
CMR-1313	2440-s1	VC	GFAP	0.7438803683970122
CMR-1313	saline	VC	GFAP	1.1625742076443768
CMR-1313	2440-s1	VC	GFAP	0.8085745862686413
CMR-1313	saline	VC	GFAP	1.0145192848947564
CMR-1313	2440-s1	VC	GFAP	0.9964201060917318
CMR-1313	saline	VC	GFAP	0.8611074707341172
CMR-1313	2440-s1	VC	GFAP	0.7361985723008646
CMR-1313	saline	VC	GFAP	1.0327050158341695
CMR-1313	2440-s1	VC	GFAP	1.0299474749363289
CMR-1313	2440-s1	VC	GFAP	0.8933009940364002
CMR-1313	NTC-s1	VC	GFAP	0.8175238242949522
CMR-1313	2440-s4	VC	GFAP	0.986955238023357
CMR-1313	NTC-s1	VC	GFAP	0.775468047441203
CMR-1313	2440-s4	VC	GFAP	1.093920413497269
CMR-1313	NTC-s1	VC	GFAP	1.0479409367116528
CMR-1313	2440-s4	VC	GFAP	0.9019687734850712
CMR-1313	NTC-s1	VC	GFAP	1.3751949623206685
CMR-1313	2440-s4	VC	GFAP	0.7820335719753296
CMR-1313	NTC-s1	VC	GFAP	0.9942807286879592
CMR-1313	2440-s4	VC	GFAP	0.7310845435281171
CMR-1313	NTC-s1	VC	GFAP	0.9542284634292951
CMR-1313	2440-s4	VC	GFAP	1.1510648622543047
CMR-1313	2440-s4	VC	GFAP	0.8383519991466978
CMR-1313	2440-s1	VC	IBA1	1.82921200187239
CMR-1313	saline	VC	IBA1	0.9722274004311272
CMR-1313	2440-s1	VC	IBA1	0.9655529358702292
CMR-1313	saline	VC	IBA1	1.205718310095253
CMR-1313	2440-s1	VC	IBA1	0.9799784922180778
CMR-1313	saline	VC	IBA1	1.1045258137051241
CMR-1313	2440-s1	VC	IBA1	1.0661105110245093
CMR-1313	saline	VC	IBA1	0.9427361639992817
CMR-1313	2440-s1	VC	IBA1	0.9466731526121555
CMR-1313	saline	VC	IBA1	0.8599720344598557
CMR-1313	2440-s1	VC	IBA1	0.9055142347717243
CMR-1313	saline	VC	IBA1	0.9148202773093582
CMR-1313	2440-s1	VC	IBA1	0.9612448286283718
CMR-1313	2440-s4	VC	IBA1	0.8904716445968625
CMR-1313	NTC-s1	VC	IBA1	1.0465521377385043
CMR-1313	2440-s4	VC	IBA1	0.9761761857757679
CMR-1313	NTC-s1	VC	IBA1	0.9680045067115293
CMR-1313	2440-s4	VC	IBA1	0.8431197757119003
CMR-1313	NTC-s1	VC	IBA1	1.1039220189356365
CMR-1313	2440-s4	VC	IBA1	1.0196200968722704
CMR-1313	NTC-s1	VC	IBA1	1.1086722841552423
CMR-1313	2440-s4	VC	IBA1	1.0549711836120255
CMR-1313	NTC-s1	VC	IBA1	0.9506485690273941
CMR-1313	2440-s4	VC	IBA1	1.1971733661457424
CMR-1313	NTC-s1	VC	IBA1	0.9071919271239667
CMR-1313	2440-s4	VC	IBA1	1.246150310291421
CMR-1418	saline	VC	GFAP	0.9761073939677417
CMR-1418	2440-s1	VC	GFAP	0.8498674799783771
CMR-1418	saline	VC	GFAP	0.8126768250120606
CMR-1418	2440-s1	VC	GFAP	0.7948027188213407
CMR-1418	saline	VC	GFAP	1.1988882257781377
CMR-1418	2440-s1	VC	GFAP	0.6616606134785127
CMR-1418	saline	VC	GFAP	1.0149551659103724
