study_id	animal	genotype	sex	days_harvest	dose_ug	residual	concentration_ng_g	lloq_ng_g	dose_retained
CMR-2521	107286.1	Tg26372	M	36	3	0.5848575928074468	115.3	10	0.015373333333333334
CMR-2521	107286.2	Tg26372	M	36	3	0.7613748712898608	90.1	10	0.012013333333333334
CMR-2521	107286.3	Tg26372	M	36	3	0.6602048173527644	131.3	10	0.017506666666666667
CMR-2521	107289.2	Tg26372	F	35	3	0.828143976053549	133.1	10	0.017746666666666668
CMR-2521	107289.3	Tg26372	F	35	3	0.8275760993793606	172	10	0.022933333333333333
CMR-2521	107289.4	Tg26372	F	35	3	0.7204484749636402	192	10	0.0256
CMR-2521	111708.1	Tg26372	M	35	3	0.8173955794961515	205.3	10	0.027373333333333336
CMR-2521	107288.1	Tg26372	M	35	10	0.6440913319456184	521.2	10	0.020848
CMR-2521	107288.2	Tg26372	M	35	10	0.4006637787368333	1871.4	10	0.074856
CMR-2521	107288.3	Tg26372	M	35	10	0.6925788887000827	612.5	10	0.0245
CMR-2521	107288.4	Tg26372	M	35	10	0.5513168164542404	1424	10	0.05696
CMR-2521	111729.1	Tg26372	F	35	10	0.5296716180748955	964.3	10	0.038572
CMR-2521	111729.2	Tg26372	F	35	10	0.6123086200447801	532.7	10	0.021308000000000004
CMR-2521	111729.3	Tg26372	F	35	10	0.5863263864249922	605.2	10	0.024208000000000004
CMR-2521	111729.4	Tg26372	F	35	10	0.7635600077861843	803.2	10	0.032128000000000004
CMR-2521	111730.1	Tg26372	M	36	35	0.4753800055355344	1467.1	10	0.01676685714285714
CMR-2521	111730.2	Tg26372	M	36	35	0.4895740750244027	686.2	10	0.007842285714285715
CMR-2521	107290.1	Tg26372	M	34	35	0.6684889848649177	1005.4	10	0.011490285714285717
CMR-2521	107290.2	Tg26372	M	34	35	0.47696440605107293	1455	10	0.01662857142857143
CMR-2521	107290.3	Tg26372	M	34	104	0.3494214537966322	3270.5	10	0.012578846153846156
CMR-2521	111707.1	Tg26372	F	35	35	0.42395030272130463	2521.9	10	0.028821714285714287
CMR-2521	111707.2	Tg26372	F	35	35	0.5309221085919742	784.8	10	0.008969142857142856
CMR-2521	111707.3	Tg26372	F	35	35	0.4339632862993593	658.3	10	0.0075234285714285715
CMR-2521	111709.1	Tg26372	F	36	0	1.119280882204468		10	
CMR-2521	111709.2	Tg26372	F	36	0	0.8632526500309697		10	
CMR-2521	111721.1	Tg26372	M	36	0	0.976051395068849		10	
CMR-2521	114697.1	Tg26372	M	35	0	1.0525972368716539		10	
CMR-2521	111722.2	Tg26372	F	35	104	0.30486349791044653	3089.1	10	0.011881153846153847
CMR-2521	111722.3	Tg26372	F	35	104	0.36154148759388083	3774.2	10	0.014516153846153847
CMR-2521	111722.4	Tg26372	F	35	104	0.28696635654765557	4967.6	10	0.01910615384615385
CMR-2521	111722.5	Tg26372	F	35	104	0.26118987693815976	5883.3	10	0.022628076923076924
CMR-2521	111724.1	Tg26372	M	34	104	0.24582762584726178	4049.6	10	0.015575384615384614
CMR-2521	111724.2	Tg26372	M	34	104	0.27788736110085055	5144.1	10	0.019785000000000004
CMR-2521	111724.3	Tg26372	M	34	104	0.2512180591117531	4251.5	10	0.016351923076923076
CMR-2521	111725.1	Tg26372	F	34	348	0.16234554564514847	8717.8	10	0.010020459770114941
CMR-2521	111725.2	Tg26372	F	34	348	0.17282900836501047	9184	10	0.01055632183908046
CMR-2521	111725.3	Tg26372	F	35	0	1.0101337224309443	15.6	10	
CMR-2521	111728.1	Tg26372	M	35	0	0.978684113393115		10	
CMR-2521	111732.1	Tg26372	F	34	348	0.12537580755814615	12484.3	10	0.014349770114942527
CMR-2521	111732.2	Tg26372	F	34	348	0.17640379616706192	11705.3	10	0.013454367816091954
CMR-2521	114694.1	Tg26372	M	34	348	0.170562525802173	10797.3	10	0.012410689655172415
CMR-2521	114694.2	Tg26372	M	34	348	0.15968834203768062	13141.1	10	0.015104712643678162
CMR-2521	114694.3	Tg26372	M	34	348	0.1503566446527572	15148.9	10	0.017412528735632184
