meta_tissue	mass_grams	dose_mg	nominal_timepoint	n_regions	median_conc	mean_conc	min_conc	max_conc	proportion_dose_retained
Brain	75.455	20	1	8	2.6981124999999997	3.1577578125	0.0716625	9.34905	0.010179303934374998
Brain	75.455	60	1	8	8.23219375	8.9880125	0.27671250000000003	25.116812499999998	0.010352669656770834
Brain	75.455	200	1	8	25.560962500000002	29.444810937499998	1.8311375	99.141175	0.0096435121271875
Kidney	53.71725	20	1	1	3.3954750000000002	3.3954750000000002	3.3954750000000002	3.3954750000000002	0.009119778972187501
Kidney	53.71725	60	1	1	14.71505	14.71505	14.71505	14.71505	0.013174200326875
Kidney	53.71725	200	1	1	60.911725000000004	60.911725000000004	60.911725000000004	60.911725000000004	0.01636005179878125
Liver	246.33749999999998	20	1	1	52.672525	52.672525	52.672525	52.672525	0.648760906359375
Liver	246.33749999999998	60	1	1	121.7231125	121.7231125	121.7231125	121.7231125	0.49974945375781243
Liver	246.33749999999998	200	1	1	233.4717875	233.4717875	233.4717875	233.4717875	0.28756428226640623
Brain	75.455	20	28	8	2.46125	2.971884375	0.171825	7.416125000000001	0.0092856809375
Brain	75.455	60	28	8	7.218987499999999	10.633871875	0.220125	33.742875	0.009078478363541666
Brain	75.455	200	28	8	10.8068375	11.787296875000001	0.33765	26.203	0.0040771496178125
Kidney	53.71725	20	28	1	1.10875	1.10875	1.10875	1.10875	0.0029779500468749996
Kidney	53.71725	60	28	1	3.56425	3.56425	3.56425	3.56425	0.0031910284718750003
Kidney	53.71725	200	28	1	18.5838	18.5838	18.5838	18.5838	0.00499135315275
Liver	246.33749999999998	20	28	1	17.761499999999998	17.761499999999998	17.761499999999998	17.761499999999998	0.21876617531249995
Liver	246.33749999999998	60	28	1	41.075175	41.075175	41.075175	41.075175	0.16863926535937498
Liver	246.33749999999998	200	28	1	87.460625	87.460625	87.460625	87.460625	0.10772415855468748
