animal_id	tiss_disp	dose_mg	nominal_timepoint	concentration_ug_g	lloq_ug_g
101	Liver	0	1	0.02	0.02
102	Liver	0	1	0.02	0.02
103	Liver	0	1	0.02	0.02
104	Liver	0	1	0.02	0.02
105	Liver	0	28	0.02	0.02
106	Liver	0	28	0.02	0.02
151	Liver	0	1	0.02	0.02
152	Liver	0	1	0.02	0.02
153	Liver	0	1	0.02	0.02
154	Liver	0	1	0.02	0.02
155	Liver	0	28	0.02	0.02
156	Liver	0	28	0.02	0.02
201	Liver	20	1	52.9766	0.02
202	Liver	20	1	44.9696	0.02
203	Liver	20	1	50.0042	0.02
204	Liver	20	1	32.1087	0.02
205	Liver	20	28	24.868599999999997	0.02
206	Liver	20	28	3.2556	0.02
251	Liver	20	1	52.0979	0.02
252	Liver	20	1	67.2313	0.02
253	Liver	20	1	58.7771	0.02
254	Liver	20	1	63.214800000000004	0.02
255	Liver	20	28	33.0937	0.02
256	Liver	20	28	9.828100000000001	0.02
301	Liver	60	1	97.2147	0.02
302	Liver	60	1	132.6248	0.02
303	Liver	60	1	114.4052	0.02
304	Liver	60	1	98.24810000000001	0.02
305	Liver	60	28	30.3154	0.02
306	Liver	60	28	34.3369	0.02
351	Liver	60	1	110.6717	0.02
352	Liver	60	1	158.5434	0.02
353	Liver	60	1	149.3865	0.02
354	Liver	60	1	112.6905	0.02
355	Liver	60	28	40.6798	0.02
356	Liver	60	28	58.968599999999995	0.02
405	Liver	200	28	90.8703	0.02
406	Liver	200	28	77.4777	0.02
455	Liver	200	28	127.0558	0.02
456	Liver	200	28	54.4387	0.02
401	Liver	200	1	252.7459	0.02
402	Liver	200	1	182.54170000000002	0.02
403	Liver	200	1	211.4325	0.02
404	Liver	200	1	233.7019	0.02
451	Liver	200	1	227.5731	0.02
452	Liver	200	1	191.4477	0.02
453	Liver	200	1	258.0341	0.02
454	Liver	200	1	310.29740000000004	0.02
101	Kidney	0	1	0.02	0.02
102	Kidney	0	1	0.02	0.02
103	Kidney	0	1	0.02	0.02
104	Kidney	0	1	0.02	0.02
105	Kidney	0	28	0.02	0.02
106	Kidney	0	28	0.02	0.02
151	Kidney	0	1	0.02	0.02
152	Kidney	0	1	0.02	0.02
153	Kidney	0	1	0.02	0.02
154	Kidney	0	1	0.02	0.02
155	Kidney	0	28	0.02	0.02
156	Kidney	0	28	0.02	0.02
201	Kidney	20	1	4.2456000000000005	0.02
202	Kidney	20	1	3.0801	0.02
203	Kidney	20	1	3.372	0.02
204	Kidney	20	1	2.3828	0.02
205	Kidney	20	28	1.0687	0.02
206	Kidney	20	28	0.6577000000000001	0.02
251	Kidney	20	1	2.5852	0.02
252	Kidney	20	1	3.7681	0.02
253	Kidney	20	1	3.9354	0.02
254	Kidney	20	1	3.7946	0.02
255	Kidney	20	28	2.0292	0.02
256	Kidney	20	28	0.6794	0.02
301	Kidney	60	1	9.5033	0.02
302	Kidney	60	1	8.788	0.02
303	Kidney	60	1	29.6006	0.02
304	Kidney	60	1	6.7692	0.02
305	Kidney	60	28	4.6358999999999995	0.02
306	Kidney	60	28	4.5404	0.02
351	Kidney	60	1	11.6061	0.02
352	Kidney	60	1	8.4314	0.02
353	Kidney	60	1	27.4712	0.02
354	Kidney	60	1	15.550600000000001	0.02
355	Kidney	60	28	1.3155	0.02
356	Kidney	60	28	3.7651999999999997	0.02
405	Kidney	200	28	9.844299999999999	0.02
406	Kidney	200	28	15.873	0.02
455	Kidney	200	28	25.477	0.02
456	Kidney	200	28	23.140900000000002	0.02
401	Kidney	200	1	35.0305	0.02
402	Kidney	200	1	68.51910000000001	0.02
403	Kidney	200	1	64.9639	0.02
404	Kidney	200	1	63.5553	0.02
451	Kidney	200	1	83.2073	0.02
452	Kidney	200	1	59.316	0.02
453	Kidney	200	1	66.147	0.02
454	Kidney	200	1	46.5547	0.02
101	Cervical cord	0	1	0.02	0.02
102	Cervical cord	0	1	0.02	0.02
103	Cervical cord	0	1	0.02	0.02
104	Cervical cord	0	1	0.02	0.02
105	Cervical cord	0	28	0.02	0.02
106	Cervical cord	0	28	0.02	0.02
151	Cervical cord	0	1	0.02	0.02
152	Cervical cord	0	1	0.02	0.02
153	Cervical cord	0	1	0.02	0.02
154	Cervical cord	0	1	0.02	0.02
155	Cervical cord	0	28	0.02	0.02
156	Cervical cord	0	28	0.02	0.02
201	Cervical cord	20	1	0.047700000000000006	0.02
202	Cervical cord	20	1	2.15	0.02
203	Cervical cord	20	1	0.0945	0.02
204	Cervical cord	20	1	7.7946	0.02
205	Cervical cord	20	28	3.9997	0.02
206	Cervical cord	20	28	2.0199000000000003	0.02
251	Cervical cord	20	1	2.6887	0.02
252	Cervical cord	20	1	10.2026	0.02
253	Cervical cord	20	1	0.9916	0.02
254	Cervical cord	20	1	6.083699999999999	0.02
255	Cervical cord	20	28	3.771	0.02
256	Cervical cord	20	28	0.1176	0.02
301	Cervical cord	60	1	4.6453999999999995	0.02
303	Cervical cord	60	1	2.426	0.02
304	Cervical cord	60	1	10.9662	0.02
351	Cervical cord	60	1	0.4016	0.02
353	Cervical cord	60	1	3.1483000000000003	0.02
354	Cervical cord	60	1	0.2792	0.02
