run_id	sample_no	animal_id	group	dose_mg	matrix	nominal_timepoint	lloq	concentration	concentration_ug_g	lloq_ug_g	x	color	dose_y	hours
AN411.0-24_01_AB03	101	101	1	0	Plasma	0	1	0.5	5e-4	0.001	1	#fbb4b9	4	0
AN411.0-24_01_AB01	16	101	1	0	Plasma	0.020833333333333332	1	0.5	5e-4	0.001	1	#fbb4b9	4	0.5
AN411.0-24_01_AB01	28	101	1	0	Plasma	0.16666666666666666	1	0.5	5e-4	0.001	1	#fbb4b9	4	4
AN411.0-24_01_AB01	45	101	1	0	Plasma	0.3333333333333333	1	0.5	5e-4	0.001	1	#fbb4b9	4	8
AN411.0-24_01_AB01	57	101	1	0	Plasma	0.5	1	0.5	5e-4	0.001	1	#fbb4b9	4	12
AN411.0-24_01_AB03	113	101	1	0	Plasma	1	1	0.5	5e-4	0.001	1	#fbb4b9	4	24
AN411.0-24_01_AB03	102	102	1	0	Plasma	0	1	0.5	5e-4	0.001	1	#fbb4b9	4	0
AN411.0-24_01_AB01	17	102	1	0	Plasma	0.020833333333333332	1	0.5	5e-4	0.001	1	#fbb4b9	4	0.5
AN411.0-24_01_AB01	29	102	1	0	Plasma	0.16666666666666666	1	0.5	5e-4	0.001	1	#fbb4b9	4	4
AN411.0-24_01_AB01	46	102	1	0	Plasma	0.3333333333333333	1	0.5	5e-4	0.001	1	#fbb4b9	4	8
AN411.0-24_01_AB01	58	102	1	0	Plasma	0.5	1	0.5	5e-4	0.001	1	#fbb4b9	4	12
AN411.0-24_01_AB03	114	102	1	0	Plasma	1	1	0.5	5e-4	0.001	1	#fbb4b9	4	24
AN411.0-24_01_AB03	103	103	1	0	Plasma	0	1	0.5	5e-4	0.001	1	#fbb4b9	4	0
AN411.0-24_01_AB01	18	103	1	0	Plasma	0.020833333333333332	1	0.5	5e-4	0.001	1	#fbb4b9	4	0.5
AN411.0-24_01_AB01	30	103	1	0	Plasma	0.16666666666666666	1	0.5	5e-4	0.001	1	#fbb4b9	4	4
AN411.0-24_01_AB01	47	103	1	0	Plasma	0.3333333333333333	1	0.5	5e-4	0.001	1	#fbb4b9	4	8
AN411.0-24_01_AB01	59	103	1	0	Plasma	0.5	1	0.5	5e-4	0.001	1	#fbb4b9	4	12
AN411.0-24_01_AB03	115	103	1	0	Plasma	1	1	0.5	5e-4	0.001	1	#fbb4b9	4	24
AN411.0-24_01_AB03	104	104	1	0	Plasma	0	1	0.5	5e-4	0.001	1	#fbb4b9	4	0
AN411.0-24_01_AB01	19	104	1	0	Plasma	0.020833333333333332	1	0.5	5e-4	0.001	1	#fbb4b9	4	0.5
AN411.0-24_01_AB01	31	104	1	0	Plasma	0.16666666666666666	1	0.5	5e-4	0.001	1	#fbb4b9	4	4
AN411.0-24_01_AB01	48	104	1	0	Plasma	0.3333333333333333	1	0.5	5e-4	0.001	1	#fbb4b9	4	8
AN411.0-24_01_AB01	60	104	1	0	Plasma	0.5	1	0.5	5e-4	0.001	1	#fbb4b9	4	12
AN411.0-24_01_AB03	116	104	1	0	Plasma	1	1	0.5	5e-4	0.001	1	#fbb4b9	4	24
AN411.0-24_01_AB03	105	105	1	0	Plasma	0	1	0.5	5e-4	0.001	1	#fbb4b9	4	0
AN411.0-24_01_AB01	20	105	1	0	Plasma	0.020833333333333332	1	0.5	5e-4	0.001	1	#fbb4b9	4	0.5
AN411.0-24_01_AB01	32	105	1	0	Plasma	0.16666666666666666	1	0.5	5e-4	0.001	1	#fbb4b9	4	4
