animal_id	day_of_death	terminal_bw_g	adrenal_glands_wt_g	brain_weight_g	epididymis_weight_g	heart_weight_g	kidneys_weight_g	liver_weight_g	spleen_weight_g	testes_weight_g	thymus_weight_g	group	sex	ovaries_weight_g
101	2	282.7	0.0496	2.1144	0.6922	1.0554	2.1298	8.4578	0.6665	3.154	0.6967	Group 1 Vehicle 0 mg	Male	
102	2	286.8	0.0595	2.2069	0.5957	1.2695	2.474	9.1528	0.6287	3.4653	0.6316	Group 1 Vehicle 0 mg	Male	
103	2	291	0.0498	1.9997	0.5743	1.4875	2.4317	9.5677	0.7411	2.917	0.8415	Group 1 Vehicle 0 mg	Male	
104	2	271.5	0.0588	1.9765	0.6964	1.3394	2.3391	8.6134	0.583	3.2273	0.5769	Group 1 Vehicle 0 mg	Male	
105	2	310.6	0.0491	1.9965	0.6308	1.3877	2.2641	10.2369	0.6404	2.9516	0.7408	Group 1 Vehicle 0 mg	Male	
106	2	276.6	0.0506	2.0393	0.6143	1.1579	2.3898	9.3971	0.7052	3.1536	0.6558	Group 1 Vehicle 0 mg	Male	
107	2	238.8	0.0461	1.9652	0.4684	1.0749	2.2716	8.3351	0.7754	2.9217	0.6097	Group 1 Vehicle 0 mg	Male	
108	2	256.4	0.0443	1.9298	0.4799	1.0501	2.1622	7.8181	0.4979	3.0608	0.4878	Group 1 Vehicle 0 mg	Male	
109	2	259.4	0.0475	1.9639	0.5496	1.0859	2.0075	7.5685	0.5545	3.1103	0.5272	Group 1 Vehicle 0 mg	Male	
110	2	288.5	0.0452	1.947	0.626	1.2977	2.3575	8.6299	0.6358	3.0152	0.6294	Group 1 Vehicle 0 mg	Male	
111	29	496.6	0.0549	2.21	1.2099	1.8996	3.2315	14.6785	0.7352	3.5007	0.831	Group 1 Vehicle 0 mg	Male	
112	29	424.1	0.0523	2.1458	1.254	1.5825	2.6699	11.3178	0.7445	3.3928	0.441	Group 1 Vehicle 0 mg	Male	
